Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";1
"270030 ARAPIRACA";45
"270140 CAMPO ALEGRE";4
"270230 CORURIPE";4
"270260 FEIRA GRANDE";6
"270270 FELIZ DESERTO";1
"270280 FLEXEIRAS";3
"270290 GIRAU DO PONCIANO";4
"270300 IBATEGUARA";10
"270310 IGACI";2
"270320 IGREJA NOVA";6
"270400 JUNQUEIRO";1
"270430 MACEIO";17
"270510 MATRIZ DE CAMARAGIBE";5
"270540 MONTEIROPOLIS";3
"270630 PALMEIRA DOS INDIOS";10
"270642 PARICONHA";1
"270670 PENEDO";43
"270680 PIACABUCU";2
"270770 RIO LARGO";5
"270800 SANTANA DO IPANEMA";22
"270850 SAO LUIS DO QUITUNDE";2
"270870 SAO MIGUEL DOS MILAGRES";1
"270915 TEOTONIO VILELA";3
"270930 UNIAO DOS PALMARES";3
"270940 VICOSA";2
"Total";206
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
