Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hipertensão por Município
Período:Abr/2010
"Município";"Hipertensão"
"270010 AGUA BRANCA";74
"270030 ARAPIRACA";30
"270110 BRANQUINHA";2
"270140 CAMPO ALEGRE";6
"270230 CORURIPE";18
"270235 CRAIBAS";1
"270260 FEIRA GRANDE";19
"270290 GIRAU DO PONCIANO";8
"270300 IBATEGUARA";45
"270310 IGACI";11
"270320 IGREJA NOVA";4
"270400 JUNQUEIRO";2
"270430 MACEIO";4
"270510 MATRIZ DE CAMARAGIBE";8
"270540 MONTEIROPOLIS";15
"270630 PALMEIRA DOS INDIOS";42
"270642 PARICONHA";3
"270670 PENEDO";46
"270680 PIACABUCU";1
"270690 PILAR";1
"270740 PORTO DE PEDRAS";2
"270770 RIO LARGO";2
"270800 SANTANA DO IPANEMA";65
"270860 SAO MIGUEL DOS CAMPOS";1
"270880 SAO SEBASTIAO";49
"270895 SENADOR RUI PALMEIRA";1
"270915 TEOTONIO VILELA";36
"270930 UNIAO DOS PALMARES";17
"Total";513
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
