Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";9
"270030 ARAPIRACA";102
"270140 CAMPO ALEGRE";5
"270230 CORURIPE";3
"270235 CRAIBAS";5
"270260 FEIRA GRANDE";1
"270270 FELIZ DESERTO";3
"270280 FLEXEIRAS";1
"270290 GIRAU DO PONCIANO";1
"270300 IBATEGUARA";4
"270310 IGACI";13
"270320 IGREJA NOVA";3
"270400 JUNQUEIRO";1
"270430 MACEIO";1
"270540 MONTEIROPOLIS";6
"270590 OLHO D'AGUA GRANDE";1
"270630 PALMEIRA DOS INDIOS";13
"270670 PENEDO";7
"270690 PILAR";35
"270770 RIO LARGO";4
"270800 SANTANA DO IPANEMA";2
"270840 SAO JOSE DA TAPERA";2
"270850 SAO LUIS DO QUITUNDE";1
"270895 SENADOR RUI PALMEIRA";2
"270900 TANQUE D'ARCA";2
"270915 TEOTONIO VILELA";8
"Total";235
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
