Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";15
"270030 ARAPIRACA";30
"270140 CAMPO ALEGRE";5
"270230 CORURIPE";13
"270235 CRAIBAS";2
"270270 FELIZ DESERTO";1
"270280 FLEXEIRAS";1
"270290 GIRAU DO PONCIANO";1
"270300 IBATEGUARA";2
"270310 IGACI";1
"270400 JUNQUEIRO";1
"270540 MONTEIROPOLIS";8
"270590 OLHO D'AGUA GRANDE";1
"270630 PALMEIRA DOS INDIOS";12
"270670 PENEDO";1
"270690 PILAR";19
"270740 PORTO DE PEDRAS";1
"270770 RIO LARGO";7
"270840 SAO JOSE DA TAPERA";7
"270915 TEOTONIO VILELA";5
"270930 UNIAO DOS PALMARES";4
"Total";137
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
