Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";12
"270030 ARAPIRACA";62
"270140 CAMPO ALEGRE";16
"270230 CORURIPE";26
"270235 CRAIBAS";4
"270270 FELIZ DESERTO";1
"270300 IBATEGUARA";3
"270310 IGACI";7
"270320 IGREJA NOVA";1
"270390 JUNDIA";3
"270540 MONTEIROPOLIS";2
"270590 OLHO D'AGUA GRANDE";10
"270630 PALMEIRA DOS INDIOS";10
"270640 PAO DE ACUCAR";6
"270642 PARICONHA";2
"270670 PENEDO";22
"270690 PILAR";7
"270730 PORTO CALVO";2
"270770 RIO LARGO";5
"270800 SANTANA DO IPANEMA";1
"270840 SAO JOSE DA TAPERA";20
"270850 SAO LUIS DO QUITUNDE";1
"270860 SAO MIGUEL DOS CAMPOS";1
"270895 SENADOR RUI PALMEIRA";5
"270915 TEOTONIO VILELA";2
"270930 UNIAO DOS PALMARES";11
"270940 VICOSA";2
"Total";244
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
