Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";54
"270030 ARAPIRACA";70
"270140 CAMPO ALEGRE";20
"270210 COLONIA LEOPOLDINA";6
"270230 CORURIPE";54
"270235 CRAIBAS";3
"270260 FEIRA GRANDE";28
"270270 FELIZ DESERTO";2
"270300 IBATEGUARA";1
"270310 IGACI";3
"270400 JUNQUEIRO";2
"270470 MARECHAL DEODORO";1
"270510 MATRIZ DE CAMARAGIBE";1
"270540 MONTEIROPOLIS";6
"270590 OLHO D'AGUA GRANDE";1
"270630 PALMEIRA DOS INDIOS";11
"270640 PAO DE ACUCAR";2
"270642 PARICONHA";8
"270670 PENEDO";10
"270690 PILAR";8
"270770 RIO LARGO";4
"270800 SANTANA DO IPANEMA";19
"270840 SAO JOSE DA TAPERA";14
"270860 SAO MIGUEL DOS CAMPOS";1
"270915 TEOTONIO VILELA";8
"270930 UNIAO DOS PALMARES";10
"Total";347
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
