Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Alagoas
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"270010 AGUA BRANCA";5
"270030 ARAPIRACA";128
"270140 CAMPO ALEGRE";9
"270210 COLONIA LEOPOLDINA";7
"270230 CORURIPE";40
"270235 CRAIBAS";22
"270260 FEIRA GRANDE";4
"270270 FELIZ DESERTO";2
"270280 FLEXEIRAS";3
"270290 GIRAU DO PONCIANO";5
"270300 IBATEGUARA";1
"270310 IGACI";1
"270330 INHAPI";3
"270390 JUNDIA";2
"270400 JUNQUEIRO";5
"270540 MONTEIROPOLIS";4
"270590 OLHO D'AGUA GRANDE";4
"270630 PALMEIRA DOS INDIOS";6
"270640 PAO DE ACUCAR";11
"270642 PARICONHA";2
"270670 PENEDO";3
"270690 PILAR";5
"270730 PORTO CALVO";1
"270760 QUEBRANGULO";11
"270800 SANTANA DO IPANEMA";19
"270840 SAO JOSE DA TAPERA";27
"270850 SAO LUIS DO QUITUNDE";2
"270930 UNIAO DOS PALMARES";12
"270940 VICOSA";3
"Total";347
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
