Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";9
"240070 ALTO DO RODRIGUES";1
"240110 AREIA BRANCA";2
"240145 BARAUNA";1
"240220 CANGUARETAMA";3
"240260 CEARA-MIRIM";27
"240320 DOUTOR SEVERIANO";1
"240325 PARNAMIRIM";103
"240420 GOIANINHA";1
"240450 GUAMARE";10
"240520 JANDUIS";2
"240530 JANUARIO CICCO";1
"240580 JOAO CAMARA";1
"240670 LAJES";72
"240710 MACAIBA";3
"240780 MONTE ALEGRE";2
"240810 NATAL";12
"240830 NOVA CRUZ";10
"240990 PENDENCIAS";11
"241010 POCO BRANCO";1
"241020 PORTALEGRE";2
"241150 SANTO ANTONIO";5
"241200 SAO GONCALO DO AMARANTE";25
"241310 SENADOR ELOI DE SOUZA";2
"Total";307
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
