Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"240070 ALTO DO RODRIGUES";3
"240145 BARAUNA";9
"240190 CAICARA DO RIO DO VENTO";8
"240220 CANGUARETAMA";1
"240250 CARNAUBAIS";1
"240260 CEARA-MIRIM";38
"240270 CERRO CORA";1
"240310 CURRAIS NOVOS";2
"240320 DOUTOR SEVERIANO";1
"240325 PARNAMIRIM";85
"240360 EXTREMOZ";17
"240375 FERNANDO PEDROZA";1
"240450 GUAMARE";17
"240470 IPANGUACU";2
"240530 JANUARIO CICCO";2
"240580 JOAO CAMARA";1
"240630 LAGOA DE PEDRAS";1
"240710 MACAIBA";1
"240780 MONTE ALEGRE";1
"240790 MONTE DAS GAMELEIRAS";1
"240810 NATAL";2
"240830 NOVA CRUZ";6
"240850 OURO BRANCO";1
"241020 PORTALEGRE";1
"241025 PORTO DO MANGUE";1
"241120 SANTA CRUZ";3
"241200 SAO GONCALO DO AMARANTE";32
"Total";239
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
