Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";1
"240070 ALTO DO RODRIGUES";1
"240110 AREIA BRANCA";2
"240145 BARAUNA";19
"240190 CAICARA DO RIO DO VENTO";5
"240260 CEARA-MIRIM";5
"240310 CURRAIS NOVOS";5
"240325 PARNAMIRIM";42
"240360 EXTREMOZ";3
"240440 GROSSOS";1
"240470 IPANGUACU";2
"240810 NATAL";14
"240830 NOVA CRUZ";2
"240850 OURO BRANCO";1
"241020 PORTALEGRE";2
"241100 RODOLFO FERNANDES";54
"241120 SANTA CRUZ";13
"241150 SANTO ANTONIO";1
"241200 SAO GONCALO DO AMARANTE";31
"241335 SERRA DO MEL";2
"241420 TIBAU DO SUL";5
"Total";211
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
