Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"240110 AREIA BRANCA";11
"240145 BARAUNA";7
"240190 CAICARA DO RIO DO VENTO";10
"240260 CEARA-MIRIM";5
"240310 CURRAIS NOVOS";2
"240325 PARNAMIRIM";49
"240440 GROSSOS";4
"240470 IPANGUACU";3
"240710 MACAIBA";1
"240770 MONTANHAS";1
"240780 MONTE ALEGRE";2
"240810 NATAL";5
"240850 OURO BRANCO";3
"241020 PORTALEGRE";1
"241120 SANTA CRUZ";7
"241200 SAO GONCALO DO AMARANTE";18
"241420 TIBAU DO SUL";3
"Total";132
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
