Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";8
"240070 ALTO DO RODRIGUES";1
"240145 BARAUNA";2
"240220 CANGUARETAMA";2
"240250 CARNAUBAIS";1
"240260 CEARA-MIRIM";4
"240310 CURRAIS NOVOS";3
"240320 DOUTOR SEVERIANO";2
"240325 PARNAMIRIM";112
"240360 EXTREMOZ";3
"240390 FRANCISCO DANTAS";1
"240430 GOVERNADOR DIX-SEPT ROSADO";2
"240450 GUAMARE";9
"240520 JANDUIS";3
"240530 JANUARIO CICCO";1
"240630 LAGOA DE PEDRAS";2
"240670 LAJES";9
"240680 LAJES PINTADAS";1
"240710 MACAIBA";11
"240770 MONTANHAS";1
"240780 MONTE ALEGRE";1
"240810 NATAL";13
"240830 NOVA CRUZ";11
"240980 PEDRO VELHO";1
"240990 PENDENCIAS";2
"241150 SANTO ANTONIO";4
"241200 SAO GONCALO DO AMARANTE";30
"241310 SENADOR ELOI DE SOUZA";15
"241350 SERRINHA";1
"241410 TENENTE ANANIAS";64
"Total";320
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
