Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";4
"240070 ALTO DO RODRIGUES";3
"240110 AREIA BRANCA";1
"240145 BARAUNA";2
"240210 CAMPO REDONDO";22
"240220 CANGUARETAMA";3
"240250 CARNAUBAIS";1
"240260 CEARA-MIRIM";13
"240310 CURRAIS NOVOS";3
"240325 PARNAMIRIM";169
"240360 EXTREMOZ";1
"240420 GOIANINHA";2
"240430 GOVERNADOR DIX-SEPT ROSADO";5
"240440 GROSSOS";2
"240450 GUAMARE";49
"240710 MACAIBA";9
"240780 MONTE ALEGRE";2
"240810 NATAL";22
"240830 NOVA CRUZ";28
"240990 PENDENCIAS";8
"241010 POCO BRANCO";1
"241020 PORTALEGRE";1
"241120 SANTA CRUZ";2
"241150 SANTO ANTONIO";1
"241200 SAO GONCALO DO AMARANTE";44
"241310 SENADOR ELOI DE SOUZA";12
"241350 SERRINHA";2
"Total";412
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
