Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";2
"240070 ALTO DO RODRIGUES";2
"240145 BARAUNA";1
"240210 CAMPO REDONDO";3
"240220 CANGUARETAMA";1
"240250 CARNAUBAIS";9
"240260 CEARA-MIRIM";11
"240310 CURRAIS NOVOS";6
"240325 PARNAMIRIM";132
"240360 EXTREMOZ";7
"240390 FRANCISCO DANTAS";1
"240420 GOIANINHA";4
"240430 GOVERNADOR DIX-SEPT ROSADO";5
"240450 GUAMARE";2
"240460 IELMO MARINHO";1
"240710 MACAIBA";10
"240780 MONTE ALEGRE";2
"240810 NATAL";68
"240830 NOVA CRUZ";1
"240990 PENDENCIAS";3
"241020 PORTALEGRE";3
"241025 PORTO DO MANGUE";1
"241120 SANTA CRUZ";5
"241150 SANTO ANTONIO";1
"241200 SAO GONCALO DO AMARANTE";22
"241350 SERRINHA";2
"Total";305
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
