Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";6
"240070 ALTO DO RODRIGUES";3
"240110 AREIA BRANCA";1
"240145 BARAUNA";2
"240150 BARCELONA";1
"240190 CAICARA DO RIO DO VENTO";2
"240210 CAMPO REDONDO";13
"240220 CANGUARETAMA";3
"240240 CARNAUBA DOS DANTAS";2
"240260 CEARA-MIRIM";55
"240270 CERRO CORA";1
"240310 CURRAIS NOVOS";7
"240325 PARNAMIRIM";98
"240360 EXTREMOZ";32
"240450 GUAMARE";8
"240470 IPANGUACU";1
"240710 MACAIBA";10
"240780 MONTE ALEGRE";1
"240810 NATAL";27
"240830 NOVA CRUZ";2
"241120 SANTA CRUZ";4
"241150 SANTO ANTONIO";2
"241200 SAO GONCALO DO AMARANTE";29
"241475 VENHA-VER";1
"Total";311
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
