Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";3
"240070 ALTO DO RODRIGUES";2
"240110 AREIA BRANCA";2
"240190 CAICARA DO RIO DO VENTO";3
"240220 CANGUARETAMA";4
"240250 CARNAUBAIS";7
"240260 CEARA-MIRIM";5
"240270 CERRO CORA";9
"240310 CURRAIS NOVOS";1
"240325 PARNAMIRIM";127
"240360 EXTREMOZ";31
"240390 FRANCISCO DANTAS";2
"240440 GROSSOS";1
"240450 GUAMARE";2
"240470 IPANGUACU";5
"240580 JOAO CAMARA";15
"240710 MACAIBA";5
"240780 MONTE ALEGRE";2
"240810 NATAL";28
"240990 PENDENCIAS";2
"241020 PORTALEGRE";2
"241120 SANTA CRUZ";11
"241200 SAO GONCALO DO AMARANTE";32
"241475 VENHA-VER";1
"Total";302
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
