Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"240070 ALTO DO RODRIGUES";2
"240110 AREIA BRANCA";8
"240145 BARAUNA";11
"240240 CARNAUBA DOS DANTAS";1
"240250 CARNAUBAIS";13
"240260 CEARA-MIRIM";32
"240270 CERRO CORA";36
"240310 CURRAIS NOVOS";1
"240325 PARNAMIRIM";326
"240360 EXTREMOZ";32
"240375 FERNANDO PEDROZA";2
"240390 FRANCISCO DANTAS";1
"240440 GROSSOS";1
"240450 GUAMARE";1
"240470 IPANGUACU";10
"240530 JANUARIO CICCO";1
"240580 JOAO CAMARA";20
"240710 MACAIBA";6
"240810 NATAL";45
"240850 OURO BRANCO";2
"241010 POCO BRANCO";1
"241120 SANTA CRUZ";6
"241200 SAO GONCALO DO AMARANTE";21
"241475 VENHA-VER";21
"Total";600
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
