Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"240070 ALTO DO RODRIGUES";1
"240110 AREIA BRANCA";17
"240145 BARAUNA";1
"240150 BARCELONA";1
"240190 CAICARA DO RIO DO VENTO";27
"240250 CARNAUBAIS";6
"240260 CEARA-MIRIM";10
"240270 CERRO CORA";26
"240310 CURRAIS NOVOS";3
"240325 PARNAMIRIM";126
"240360 EXTREMOZ";21
"240375 FERNANDO PEDROZA";1
"240440 GROSSOS";2
"240450 GUAMARE";2
"240470 IPANGUACU";3
"240530 JANUARIO CICCO";2
"240580 JOAO CAMARA";4
"240630 LAGOA DE PEDRAS";1
"240710 MACAIBA";4
"240780 MONTE ALEGRE";1
"240790 MONTE DAS GAMELEIRAS";1
"240810 NATAL";53
"240830 NOVA CRUZ";2
"240850 OURO BRANCO";4
"241020 PORTALEGRE";1
"241120 SANTA CRUZ";7
"241150 SANTO ANTONIO";4
"241200 SAO GONCALO DO AMARANTE";37
"241350 SERRINHA";1
"241475 VENHA-VER";10
"Total";379
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
