Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Norte
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"240020 ACU";1
"240070 ALTO DO RODRIGUES";1
"240110 AREIA BRANCA";13
"240145 BARAUNA";4
"240150 BARCELONA";2
"240190 CAICARA DO RIO DO VENTO";6
"240220 CANGUARETAMA";2
"240250 CARNAUBAIS";15
"240260 CEARA-MIRIM";6
"240320 DOUTOR SEVERIANO";1
"240325 PARNAMIRIM";101
"240360 EXTREMOZ";30
"240390 FRANCISCO DANTAS";1
"240450 GUAMARE";2
"240530 JANUARIO CICCO";1
"240710 MACAIBA";10
"240780 MONTE ALEGRE";7
"240810 NATAL";8
"240830 NOVA CRUZ";3
"241020 PORTALEGRE";2
"241120 SANTA CRUZ";3
"241150 SANTO ANTONIO";1
"241200 SAO GONCALO DO AMARANTE";34
"241420 TIBAU DO SUL";1
"241475 VENHA-VER";4
"Total";259
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
