Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";2
"430020 AJURICABA";4
"430030 ALECRIM";6
"430040 ALEGRETE";3
"430050 ALPESTRE";2
"430087 ARARICA";3
"430190 BARRA DO RIBEIRO";3
"430265 BROCHIER";1
"430290 CACEQUI";29
"430300 CACHOEIRA DO SUL";2
"430310 CACHOEIRINHA";14
"430360 CAMBARA DO SUL";1
"430390 CAMPO BOM";5
"430440 CANELA";3
"430450 CANGUCU";6
"430460 CANOAS";11
"430471 CARAA";1
"430510 CAXIAS DO SUL";55
"430512 CERRITO";15
"430545 CIDREIRA";3
"430558 COLINAS";1
"430580 CONSTANTINA";3
"430585 COQUEIROS DO SUL";1
"430610 CRUZ ALTA";35
"430613 CRUZALTENSE";1
"430620 CRUZEIRO DO SUL";1
"430637 DILERMANDO DE AGUIAR";4
"430640 DOIS IRMAOS";3
"430650 DOM FELICIANO";1
"430660 DOM PEDRITO";4
"430676 ELDORADO DO SUL";6
"430692 ENGENHO VELHO";1
"430697 EREBANGO";6
"430700 ERECHIM";5
"430710 HERVAL";2
"430760 ESTANCIA VELHA";4
"430770 ESTEIO";6
"430790 FARROUPILHA";2
"430800 FAXINAL DO SOTURNO";1
"430810 FELIZ";5
"430820 FLORES DA CUNHA";4
"430910 GRAMADO";4
"430930 GUAIBA";22
"430955 HARMONIA";2
"430957 HERVEIRAS";4
"430960 HORIZONTINA";1
"431010 IGREJINHA";5
"431033 IMBE";4
"431050 IRAI";1
"431060 ITAQUI";29
"431080 IVOTI";3
"431100 JAGUARAO";12
"431115 JOIA";5
"431120 JULIO DE CASTILHOS";3
"431127 LAGOA DOS TRES CANTOS";1
"431140 LAJEADO";8
"431142 LAJEADO DO BUGRE";4
"431160 LIBERATO SALZANO";2
"431175 MANOEL VIANA";13
"431180 MARAU";20
"431215 MATO LEITAO";2
"431230 MIRAGUAI";2
"431240 MONTENEGRO";1
"431250 MOSTARDAS";5
"431270 NONOAI";3
"431290 NOVA BASSANO";2
"431306 NOVA HARTZ";2
"431320 NOVA PETROPOLIS";5
"431330 NOVA PRATA";1
"431340 NOVO HAMBURGO";4
"431395 PANTANO GRANDE";1
"431410 PASSO FUNDO";28
"431440 PELOTAS";28
"431442 PICADA CAFE";1
"431450 PINHEIRO MACHADO";2
"431460 PIRATINI";1
"431532 QUEVEDOS";1
"431550 RESTINGA SECA";6
"431560 RIO GRANDE";20
"431580 ROCA SALES";1
"431610 RONDA ALTA";14
"431630 ROQUE GONZALES";1
"431640 ROSARIO DO SUL";22
"431643 SALDANHA MARINHO";5
"431670 SANTA BARBARA DO SUL";1
"431675 SANTA CLARA DO SUL";6
"431680 SANTA CRUZ DO SUL";18
"431690 SANTA MARIA";6
"431700 SANTANA DA BOA VISTA";4
"431710 SANT'ANA DO LIVRAMENTO";4
"431720 SANTA ROSA";1
"431740 SANTIAGO";9
"431750 SANTO ANGELO";43
"431760 SANTO ANTONIO DA PATRULHA";3
"431800 SAO BORJA";10
"431820 SAO FRANCISCO DE PAULA";1
"431830 SAO GABRIEL";11
"431850 SAO JOSE DO NORTE";12
"431870 SAO LEOPOLDO";1
"431890 SAO LUIZ GONZAGA";14
"431960 SAO SEPE";1
"431990 SAPIRANGA";7
"432000 SAPUCAIA DO SUL";39
"432010 SARANDI";2
"432020 SEBERI";1
"432080 SOLEDADE";4
"432110 TAPES";1
"432140 TENENTE PORTELA";2
"432143 TERRA DE AREIA";1
"432145 TEUTONIA";3
"432150 TORRES";4
"432170 TRES COROAS";1
"432180 TRES DE MAIO";6
"432210 TUCUNDUVA";4
"432215 TUNAS";1
"432230 TUPARENDI";1
"432240 URUGUAIANA";17
"432270 VERA CRUZ";3
"432380 XANGRI-LA";1
"Total";809
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
