Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"430003 ACEGUA";2
"430010 AGUDO";11
"430050 ALPESTRE";1
"430063 AMARAL FERRADOR";1
"430066 ANDRE DA ROCHA";1
"430087 ARARICA";8
"430175 BARAO DO TRIUNFO";1
"430220 BOA VISTA DO BURICA";5
"430222 BOA VISTA DO CADEADO";1
"430300 CACHOEIRA DO SUL";3
"430310 CACHOEIRINHA";21
"430320 CACIQUE DOBLE";4
"430390 CAMPO BOM";24
"430420 CANDELARIA";3
"430430 CANDIDO GODOI";3
"430440 CANELA";127
"430450 CANGUCU";12
"430460 CANOAS";12
"430463 CAPAO DA CANOA";21
"430465 CAPAO DO CIPO";11
"430467 CAPIVARI DO SUL";2
"430490 CASCA";2
"430510 CAXIAS DO SUL";45
"430512 CERRITO";1
"430513 CERRO BRANCO";1
"430535 CHARQUEADAS";25
"430543 CHUI";6
"430580 CONSTANTINA";1
"430610 CRUZ ALTA";20
"430630 DAVID CANABARRO";1
"430637 DILERMANDO DE AGUIAR";2
"430640 DOIS IRMAOS";17
"430650 DOM FELICIANO";28
"430660 DOM PEDRITO";6
"430670 DONA FRANCISCA";1
"430673 DOUTOR MAURICIO CARDOSO";6
"430676 ELDORADO DO SUL";4
"430690 ENCRUZILHADA DO SUL";2
"430692 ENGENHO VELHO";1
"430700 ERECHIM";51
"430710 HERVAL";6
"430730 ERVAL SECO";2
"430745 ESPERANCA DO SUL";2
"430760 ESTANCIA VELHA";5
"430770 ESTEIO";24
"430780 ESTRELA";2
"430845 FORTALEZA DOS VALOS";7
"430880 GENERAL CAMARA";4
"430905 GLORINHA";6
"430910 GRAMADO";1
"430930 GUAIBA";5
"430960 HORIZONTINA";3
"431000 IBIRUBA";1
"431033 IMBE";4
"431053 ITAARA";5
"431060 ITAQUI";11
"431080 IVOTI";4
"431085 JABOTICABA";1
"431100 JAGUARAO";4
"431113 JARI";1
"431120 JULIO DE CASTILHOS";1
"431127 LAGOA DOS TRES CANTOS";1
"431140 LAJEADO";12
"431150 LAVRAS DO SUL";1
"431160 LIBERATO SALZANO";2
"431170 MACHADINHO";3
"431210 MATA";3
"431213 MATO CASTELHANO";4
"431220 MAXIMILIANO DE ALMEIDA";1
"431235 MONTAURI";1
"431240 MONTENEGRO";10
"431250 MOSTARDAS";3
"431275 NOVA ALVORADA";7
"431290 NOVA BASSANO";3
"431300 NOVA BRESCIA";1
"431320 NOVA PETROPOLIS";2
"431330 NOVA PRATA";1
"431340 NOVO HAMBURGO";25
"431395 PANTANO GRANDE";5
"431403 PARECI NOVO";4
"431410 PASSO FUNDO";12
"431440 PELOTAS";52
"431442 PICADA CAFE";1
"431447 PINHAL GRANDE";1
"431450 PINHEIRO MACHADO";3
"431455 PIRAPO";4
"431470 PLANALTO";5
"431475 POCO DAS ANTAS";5
"431477 PONTAO";4
"431480 PORTAO";67
"431500 PORTO LUCENA";2
"431530 QUARAI";1
"431532 QUEVEDOS";1
"431550 RESTINGA SECA";6
"431560 RIO GRANDE";25
"431570 RIO PARDO";1
"431575 RIOZINHO";12
"431610 RONDA ALTA";2
"431630 ROQUE GONZALES";10
"431640 ROSARIO DO SUL";2
"431680 SANTA CRUZ DO SUL";9
"431690 SANTA MARIA";4
"431710 SANT'ANA DO LIVRAMENTO";2
"431740 SANTIAGO";6
"431750 SANTO ANGELO";231
"431760 SANTO ANTONIO DA PATRULHA";3
"431770 SANTO ANTONIO DAS MISSOES";1
"431790 SANTO CRISTO";35
"431820 SAO FRANCISCO DE PAULA";2
"431830 SAO GABRIEL";4
"431842 SAO JOAO DA URTIGA";1
"431850 SAO JOSE DO NORTE";3
"431870 SAO LEOPOLDO";10
"431890 SAO LUIZ GONZAGA";8
"431990 SAPIRANGA";10
"432000 SAPUCAIA DO SUL";65
"432010 SARANDI";3
"432032 SENADOR SALGADO FILHO";2
"432055 SERTAO SANTANA";1
"432067 SINIMBU";4
"432080 SOLEDADE";2
"432110 TAPES";9
"432130 TAQUARI";17
"432140 TENENTE PORTELA";2
"432145 TEUTONIA";5
"432146 TIO HUGO";3
"432147 TIRADENTES DO SUL";23
"432149 TOROPI";2
"432150 TORRES";25
"432170 TRES COROAS";3
"432185 TRES PALMEIRAS";2
"432190 TRES PASSOS";41
"432200 TRIUNFO";28
"432210 TUCUNDUVA";2
"432232 TURUCU";2
"432237 UNISTALDA";1
"432240 URUGUAIANA";30
"432252 VALE VERDE";1
"432253 VALE DO SOL";22
"432260 VENANCIO AIRES";1
"432270 VERA CRUZ";2
"432330 VILA FLORES";20
"432340 VILA MARIA";1
"432360 VISTA ALEGRE DO PRATA";1
"Total";1547
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
