Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";2
"430050 ALPESTRE";3
"430063 AMARAL FERRADOR";1
"430080 ANTONIO PRADO";10
"430087 ARARICA";7
"430175 BARAO DO TRIUNFO";2
"430210 BENTO GONCALVES";2
"430220 BOA VISTA DO BURICA";14
"430235 BOM PRINCIPIO";1
"430310 CACHOEIRINHA";23
"430320 CACIQUE DOBLE";2
"430350 CAMAQUA";9
"430390 CAMPO BOM";17
"430440 CANELA";40
"430450 CANGUCU";8
"430460 CANOAS";5
"430463 CAPAO DA CANOA";8
"430465 CAPAO DO CIPO";8
"430471 CARAA";2
"430490 CASCA";2
"430510 CAXIAS DO SUL";51
"430512 CERRITO";1
"430535 CHARQUEADAS";12
"430543 CHUI";4
"430545 CIDREIRA";2
"430580 CONSTANTINA";1
"430585 COQUEIROS DO SUL";1
"430610 CRUZ ALTA";13
"430637 DILERMANDO DE AGUIAR";1
"430640 DOIS IRMAOS";20
"430642 DOIS IRMAOS DAS MISSOES";13
"430660 DOM PEDRITO";3
"430673 DOUTOR MAURICIO CARDOSO";2
"430676 ELDORADO DO SUL";2
"430690 ENCRUZILHADA DO SUL";6
"430700 ERECHIM";22
"430710 HERVAL";2
"430730 ERVAL SECO";9
"430745 ESPERANCA DO SUL";1
"430760 ESTANCIA VELHA";1
"430770 ESTEIO";28
"430780 ESTRELA";4
"430790 FARROUPILHA";9
"430845 FORTALEZA DOS VALOS";5
"430905 GLORINHA";6
"430910 GRAMADO";1
"430930 GUAIBA";15
"430960 HORIZONTINA";10
"431010 IGREJINHA";12
"431033 IMBE";7
"431053 ITAARA";7
"431060 ITAQUI";12
"431075 IVORA";8
"431080 IVOTI";3
"431100 JAGUARAO";5
"431113 JARI";4
"431120 JULIO DE CASTILHOS";2
"431127 LAGOA DOS TRES CANTOS";1
"431140 LAJEADO";20
"431142 LAJEADO DO BUGRE";5
"431150 LAVRAS DO SUL";1
"431170 MACHADINHO";1
"431177 MAQUINE";1
"431179 MARATA";1
"431210 MATA";21
"431213 MATO CASTELHANO";7
"431240 MONTENEGRO";19
"431250 MOSTARDAS";12
"431262 MULITERNO";1
"431275 NOVA ALVORADA";2
"431280 NOVA ARACA";4
"431320 NOVA PETROPOLIS";2
"431337 NOVA SANTA RITA";2
"431340 NOVO HAMBURGO";18
"431410 PASSO FUNDO";9
"431440 PELOTAS";48
"431450 PINHEIRO MACHADO";1
"431470 PLANALTO";3
"431475 POCO DAS ANTAS";1
"431477 PONTAO";2
"431480 PORTAO";51
"431530 QUARAI";1
"431532 QUEVEDOS";2
"431535 QUINZE DE NOVEMBRO";3
"431550 RESTINGA SECA";4
"431560 RIO GRANDE";6
"431570 RIO PARDO";1
"431575 RIOZINHO";1
"431630 ROQUE GONZALES";2
"431640 ROSARIO DO SUL";5
"431675 SANTA CLARA DO SUL";1
"431680 SANTA CRUZ DO SUL";6
"431690 SANTA MARIA";4
"431710 SANT'ANA DO LIVRAMENTO";4
"431720 SANTA ROSA";1
"431740 SANTIAGO";8
"431750 SANTO ANGELO";99
"431790 SANTO CRISTO";64
"431800 SAO BORJA";22
"431820 SAO FRANCISCO DE PAULA";1
"431830 SAO GABRIEL";11
"431842 SAO JOAO DA URTIGA";1
"431850 SAO JOSE DO NORTE";5
"431870 SAO LEOPOLDO";2
"431935 SAO PEDRO DA SERRA";1
"431990 SAPIRANGA";10
"432000 SAPUCAIA DO SUL";42
"432010 SARANDI";1
"432065 SILVEIRA MARTINS";2
"432080 SOLEDADE";3
"432110 TAPES";2
"432130 TAQUARI";13
"432140 TENENTE PORTELA";3
"432145 TEUTONIA";3
"432147 TIRADENTES DO SUL";5
"432150 TORRES";10
"432170 TRES COROAS";10
"432185 TRES PALMEIRAS";1
"432190 TRES PASSOS";15
"432200 TRIUNFO";7
"432215 TUNAS";1
"432230 TUPARENDI";1
"432232 TURUCU";19
"432237 UNISTALDA";1
"432240 URUGUAIANA";18
"432252 VALE VERDE";1
"432253 VALE DO SOL";9
"432270 VERA CRUZ";3
"432330 VILA FLORES";5
"432340 VILA MARIA";3
"Total";1147
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
