Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";1
"430030 ALECRIM";1
"430050 ALPESTRE";4
"430080 ANTONIO PRADO";13
"430087 ARARICA";11
"430155 AUREA";3
"430175 BARAO DO TRIUNFO";1
"430210 BENTO GONCALVES";4
"430222 BOA VISTA DO CADEADO";1
"430310 CACHOEIRINHA";21
"430350 CAMAQUA";5
"430390 CAMPO BOM";10
"430420 CANDELARIA";3
"430440 CANELA";41
"430450 CANGUCU";6
"430460 CANOAS";20
"430463 CAPAO DA CANOA";4
"430490 CASCA";9
"430510 CAXIAS DO SUL";40
"430512 CERRITO";1
"430513 CERRO BRANCO";1
"430535 CHARQUEADAS";11
"430543 CHUI";2
"430610 CRUZ ALTA";6
"430630 DAVID CANABARRO";3
"430637 DILERMANDO DE AGUIAR";2
"430640 DOIS IRMAOS";12
"430660 DOM PEDRITO";5
"430673 DOUTOR MAURICIO CARDOSO";2
"430690 ENCRUZILHADA DO SUL";1
"430700 ERECHIM";13
"430710 HERVAL";4
"430730 ERVAL SECO";2
"430760 ESTANCIA VELHA";1
"430770 ESTEIO";36
"430780 ESTRELA";4
"430781 ESTRELA VELHA";25
"430790 FARROUPILHA";1
"430800 FAXINAL DO SOTURNO";2
"430845 FORTALEZA DOS VALOS";2
"430905 GLORINHA";4
"430930 GUAIBA";14
"430957 HERVEIRAS";1
"430960 HORIZONTINA";35
"431010 IGREJINHA";2
"431033 IMBE";6
"431053 ITAARA";12
"431060 ITAQUI";22
"431075 IVORA";18
"431080 IVOTI";5
"431085 JABOTICABA";6
"431100 JAGUARAO";2
"431120 JULIO DE CASTILHOS";3
"431127 LAGOA DOS TRES CANTOS";2
"431140 LAJEADO";10
"431200 MARIANO MORO";1
"431210 MATA";19
"431240 MONTENEGRO";5
"431242 MORMACO";3
"431250 MOSTARDAS";11
"431280 NOVA ARACA";1
"431290 NOVA BASSANO";1
"431320 NOVA PETROPOLIS";5
"431330 NOVA PRATA";1
"431339 NOVO CABRAIS";1
"431340 NOVO HAMBURGO";4
"431349 NOVO BARREIRO";1
"431395 PANTANO GRANDE";1
"431410 PASSO FUNDO";17
"431440 PELOTAS";29
"431470 PLANALTO";4
"431475 POCO DAS ANTAS";1
"431477 PONTAO";4
"431480 PORTAO";23
"431535 QUINZE DE NOVEMBRO";3
"431550 RESTINGA SECA";3
"431555 RIO DOS INDIOS";3
"431560 RIO GRANDE";5
"431620 RONDINHA";1
"431640 ROSARIO DO SUL";2
"431670 SANTA BARBARA DO SUL";1
"431680 SANTA CRUZ DO SUL";10
"431690 SANTA MARIA";9
"431710 SANT'ANA DO LIVRAMENTO";2
"431720 SANTA ROSA";1
"431740 SANTIAGO";5
"431750 SANTO ANGELO";37
"431790 SANTO CRISTO";1
"431800 SAO BORJA";11
"431820 SAO FRANCISCO DE PAULA";1
"431830 SAO GABRIEL";5
"431850 SAO JOSE DO NORTE";2
"431870 SAO LEOPOLDO";2
"431890 SAO LUIZ GONZAGA";9
"431990 SAPIRANGA";10
"432000 SAPUCAIA DO SUL";57
"432010 SARANDI";1
"432020 SEBERI";1
"432080 SOLEDADE";1
"432110 TAPES";6
"432130 TAQUARI";15
"432147 TIRADENTES DO SUL";12
"432150 TORRES";7
"432215 TUNAS";1
"432220 TUPANCIRETA";1
"432232 TURUCU";1
"432237 UNISTALDA";1
"432240 URUGUAIANA";18
"432253 VALE DO SOL";14
"432285 VESPASIANO CORREA";2
"432330 VILA FLORES";1
"432345 VILA NOVA DO SUL";16
"432360 VISTA ALEGRE DO PRATA";2
"Total";888
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
