Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";8
"430050 ALPESTRE";4
"430063 AMARAL FERRADOR";1
"430087 ARARICA";46
"430190 BARRA DO RIBEIRO";3
"430290 CACEQUI";6
"430310 CACHOEIRINHA";15
"430320 CACIQUE DOBLE";1
"430350 CAMAQUA";1
"430360 CAMBARA DO SUL";2
"430390 CAMPO BOM";14
"430450 CANGUCU";6
"430460 CANOAS";10
"430466 CAPAO DO LEAO";1
"430468 CAPELA DE SANTANA";2
"430471 CARAA";1
"430495 CASEIROS";1
"430510 CAXIAS DO SUL";41
"430512 CERRITO";10
"430517 CERRO GRANDE DO SUL";1
"430545 CIDREIRA";3
"430610 CRUZ ALTA";20
"430613 CRUZALTENSE";1
"430637 DILERMANDO DE AGUIAR";1
"430650 DOM FELICIANO";2
"430660 DOM PEDRITO";8
"430673 DOUTOR MAURICIO CARDOSO";11
"430676 ELDORADO DO SUL";1
"430697 EREBANGO";3
"430700 ERECHIM";16
"430710 HERVAL";3
"430740 ESMERALDA";1
"430760 ESTANCIA VELHA";10
"430780 ESTRELA";4
"430820 FLORES DA CUNHA";1
"430830 FONTOURA XAVIER";2
"430910 GRAMADO";2
"430915 GRAMADO XAVIER";1
"430930 GUAIBA";14
"430955 HARMONIA";2
"430957 HERVEIRAS";3
"431010 IGREJINHA";7
"431050 IRAI";1
"431060 ITAQUI";5
"431080 IVOTI";1
"431100 JAGUARAO";2
"431115 JOIA";2
"431120 JULIO DE CASTILHOS";1
"431127 LAGOA DOS TRES CANTOS";1
"431140 LAJEADO";5
"431142 LAJEADO DO BUGRE";7
"431177 MAQUINE";1
"431179 MARATA";1
"431180 MARAU";2
"431220 MAXIMILIANO DE ALMEIDA";3
"431250 MOSTARDAS";5
"431270 NONOAI";3
"431310 NOVA PALMA";2
"431320 NOVA PETROPOLIS";5
"431340 NOVO HAMBURGO";8
"431360 PAIM FILHO";2
"431410 PASSO FUNDO";59
"431415 PAVERAMA";5
"431417 PEDRAS ALTAS";1
"431440 PELOTAS";36
"431442 PICADA CAFE";2
"431450 PINHEIRO MACHADO";2
"431460 PIRATINI";1
"431470 PLANALTO";14
"431477 PONTAO";1
"431530 QUARAI";2
"431550 RESTINGA SECA";9
"431560 RIO GRANDE";11
"431580 ROCA SALES";2
"431610 RONDA ALTA";9
"431620 RONDINHA";1
"431643 SALDANHA MARINHO";1
"431670 SANTA BARBARA DO SUL";7
"431680 SANTA CRUZ DO SUL";12
"431690 SANTA MARIA";3
"431700 SANTANA DA BOA VISTA";1
"431720 SANTA ROSA";3
"431750 SANTO ANGELO";24
"431800 SAO BORJA";23
"431830 SAO GABRIEL";3
"431850 SAO JOSE DO NORTE";5
"431870 SAO LEOPOLDO";2
"431890 SAO LUIZ GONZAGA";7
"431960 SAO SEPE";3
"431990 SAPIRANGA";6
"432000 SAPUCAIA DO SUL";21
"432010 SARANDI";1
"432020 SEBERI";1
"432140 TENENTE PORTELA";3
"432145 TEUTONIA";1
"432147 TIRADENTES DO SUL";3
"432149 TOROPI";1
"432180 TRES DE MAIO";1
"432210 TUCUNDUVA";4
"432240 URUGUAIANA";18
"432260 VENANCIO AIRES";2
"432270 VERA CRUZ";1
"432380 XANGRI-LA";1
"Total";660
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
