Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";4
"430030 ALECRIM";1
"430040 ALEGRETE";1
"430050 ALPESTRE";1
"430080 ANTONIO PRADO";1
"430087 ARARICA";10
"430210 BENTO GONCALVES";3
"430222 BOA VISTA DO CADEADO";2
"430235 BOM PRINCIPIO";1
"430245 BOQUEIRAO DO LEAO";2
"430265 BROCHIER";1
"430290 CACEQUI";3
"430310 CACHOEIRINHA";19
"430350 CAMAQUA";2
"430390 CAMPO BOM";8
"430440 CANELA";1
"430450 CANGUCU";27
"430460 CANOAS";9
"430466 CAPAO DO LEAO";1
"430467 CAPIVARI DO SUL";2
"430471 CARAA";1
"430510 CAXIAS DO SUL";58
"430512 CERRITO";19
"430517 CERRO GRANDE DO SUL";1
"430580 CONSTANTINA";6
"430610 CRUZ ALTA";18
"430650 DOM FELICIANO";1
"430660 DOM PEDRITO";4
"430673 DOUTOR MAURICIO CARDOSO";8
"430676 ELDORADO DO SUL";6
"430690 ENCRUZILHADA DO SUL";1
"430693 ENTRE-IJUIS";3
"430697 EREBANGO";5
"430700 ERECHIM";5
"430710 HERVAL";5
"430750 ESPUMOSO";1
"430760 ESTANCIA VELHA";7
"430770 ESTEIO";4
"430780 ESTRELA";8
"430790 FARROUPILHA";3
"430810 FELIZ";4
"430820 FLORES DA CUNHA";1
"430830 FONTOURA XAVIER";6
"430880 GENERAL CAMARA";1
"430885 GENTIL";1
"430910 GRAMADO";1
"430915 GRAMADO XAVIER";1
"430930 GUAIBA";12
"430955 HARMONIA";6
"430957 HERVEIRAS";1
"430960 HORIZONTINA";1
"431010 IGREJINHA";2
"431033 IMBE";2
"431060 ITAQUI";10
"431080 IVOTI";1
"431100 JAGUARAO";6
"431113 JARI";3
"431115 JOIA";1
"431120 JULIO DE CASTILHOS";2
"431140 LAJEADO";10
"431170 MACHADINHO";1
"431175 MANOEL VIANA";3
"431180 MARAU";5
"431213 MATO CASTELHANO";1
"431215 MATO LEITAO";1
"431235 MONTAURI";1
"431240 MONTENEGRO";4
"431245 MORRO REDONDO";3
"431250 MOSTARDAS";26
"431262 MULITERNO";1
"431265 NAO-ME-TOQUE";3
"431270 NONOAI";3
"431300 NOVA BRESCIA";1
"431320 NOVA PETROPOLIS";4
"431330 NOVA PRATA";2
"431340 NOVO HAMBURGO";4
"431344 NOVO TIRADENTES";1
"431360 PAIM FILHO";4
"431410 PASSO FUNDO";49
"431417 PEDRAS ALTAS";1
"431440 PELOTAS";44
"431442 PICADA CAFE";5
"431450 PINHEIRO MACHADO";2
"431460 PIRATINI";3
"431470 PLANALTO";13
"431477 PONTAO";2
"431530 QUARAI";1
"431532 QUEVEDOS";3
"431550 RESTINGA SECA";1
"431560 RIO GRANDE";8
"431580 ROCA SALES";2
"431610 RONDA ALTA";2
"431630 ROQUE GONZALES";1
"431640 ROSARIO DO SUL";7
"431643 SALDANHA MARINHO";4
"431647 SALVADOR DAS MISSOES";1
"431670 SANTA BARBARA DO SUL";17
"431675 SANTA CLARA DO SUL";3
"431680 SANTA CRUZ DO SUL";31
"431690 SANTA MARIA";16
"431710 SANT'ANA DO LIVRAMENTO";8
"431720 SANTA ROSA";1
"431740 SANTIAGO";5
"431750 SANTO ANGELO";19
"431760 SANTO ANTONIO DA PATRULHA";6
"431770 SANTO ANTONIO DAS MISSOES";14
"431800 SAO BORJA";24
"431820 SAO FRANCISCO DE PAULA";1
"431830 SAO GABRIEL";9
"431850 SAO JOSE DO NORTE";7
"431870 SAO LEOPOLDO";12
"431890 SAO LUIZ GONZAGA";15
"431960 SAO SEPE";1
"431990 SAPIRANGA";7
"432000 SAPUCAIA DO SUL";24
"432010 SARANDI";3
"432032 SENADOR SALGADO FILHO";1
"432035 SENTINELA DO SUL";1
"432040 SERAFINA CORREA";1
"432050 SERTAO";14
"432065 SILVEIRA MARTINS";1
"432080 SOLEDADE";2
"432110 TAPES";5
"432140 TENENTE PORTELA";1
"432143 TERRA DE AREIA";3
"432146 TIO HUGO";2
"432210 TUCUNDUVA";2
"432220 TUPANCIRETA";1
"432230 TUPARENDI";3
"432237 UNISTALDA";7
"432240 URUGUAIANA";33
"432260 VENANCIO AIRES";3
"432270 VERA CRUZ";20
"432285 VESPASIANO CORREA";2
"432320 VICTOR GRAEFF";1
"432340 VILA MARIA";1
"432350 VISTA ALEGRE";8
"432380 XANGRI-LA";2
"Total";889
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
