Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";7
"430030 ALECRIM";3
"430040 ALEGRETE";6
"430050 ALPESTRE";2
"430080 ANTONIO PRADO";1
"430087 ARARICA";1
"430210 BENTO GONCALVES";2
"430245 BOQUEIRAO DO LEAO";2
"430290 CACEQUI";2
"430300 CACHOEIRA DO SUL";3
"430310 CACHOEIRINHA";22
"430350 CAMAQUA";8
"430390 CAMPO BOM";2
"430450 CANGUCU";47
"430460 CANOAS";10
"430466 CAPAO DO LEAO";1
"430467 CAPIVARI DO SUL";2
"430468 CAPELA DE SANTANA";38
"430471 CARAA";3
"430510 CAXIAS DO SUL";51
"430512 CERRITO";5
"430513 CERRO BRANCO";7
"430517 CERRO GRANDE DO SUL";3
"430545 CIDREIRA";4
"430580 CONSTANTINA";11
"430610 CRUZ ALTA";39
"430660 DOM PEDRITO";2
"430676 ELDORADO DO SUL";4
"430690 ENCRUZILHADA DO SUL";3
"430693 ENTRE-IJUIS";4
"430700 ERECHIM";8
"430710 HERVAL";4
"430720 ERVAL GRANDE";1
"430730 ERVAL SECO";1
"430750 ESPUMOSO";2
"430760 ESTANCIA VELHA";13
"430780 ESTRELA";6
"430800 FAXINAL DO SOTURNO";3
"430810 FELIZ";2
"430820 FLORES DA CUNHA";3
"430830 FONTOURA XAVIER";3
"430910 GRAMADO";2
"430915 GRAMADO XAVIER";3
"430930 GUAIBA";16
"430955 HARMONIA";2
"430960 HORIZONTINA";4
"431010 IGREJINHA";3
"431040 INDEPENDENCIA";1
"431060 ITAQUI";12
"431080 IVOTI";3
"431100 JAGUARAO";2
"431115 JOIA";4
"431120 JULIO DE CASTILHOS";3
"431127 LAGOA DOS TRES CANTOS";1
"431140 LAJEADO";5
"431142 LAJEADO DO BUGRE";5
"431170 MACHADINHO";2
"431177 MAQUINE";1
"431180 MARAU";1
"431210 MATA";2
"431215 MATO LEITAO";2
"431220 MAXIMILIANO DE ALMEIDA";2
"431240 MONTENEGRO";2
"431250 MOSTARDAS";2
"431270 NONOAI";3
"431320 NOVA PETROPOLIS";6
"431330 NOVA PRATA";1
"431340 NOVO HAMBURGO";2
"431360 PAIM FILHO";3
"431395 PANTANO GRANDE";1
"431403 PARECI NOVO";3
"431410 PASSO FUNDO";13
"431440 PELOTAS";49
"431450 PINHEIRO MACHADO";2
"431477 PONTAO";3
"431532 QUEVEDOS";1
"431550 RESTINGA SECA";3
"431555 RIO DOS INDIOS";1
"431560 RIO GRANDE";5
"431580 ROCA SALES";3
"431610 RONDA ALTA";34
"431630 ROQUE GONZALES";5
"431640 ROSARIO DO SUL";7
"431670 SANTA BARBARA DO SUL";33
"431680 SANTA CRUZ DO SUL";10
"431690 SANTA MARIA";2
"431710 SANT'ANA DO LIVRAMENTO";8
"431720 SANTA ROSA";2
"431740 SANTIAGO";4
"431750 SANTO ANGELO";73
"431760 SANTO ANTONIO DA PATRULHA";2
"431770 SANTO ANTONIO DAS MISSOES";3
"431800 SAO BORJA";1
"431830 SAO GABRIEL";14
"431850 SAO JOSE DO NORTE";7
"431870 SAO LEOPOLDO";20
"431890 SAO LUIZ GONZAGA";29
"431935 SAO PEDRO DA SERRA";2
"431960 SAO SEPE";1
"431970 SAO VALENTIM";2
"431990 SAPIRANGA";9
"432000 SAPUCAIA DO SUL";11
"432010 SARANDI";12
"432035 SENTINELA DO SUL";29
"432040 SERAFINA CORREA";1
"432055 SERTAO SANTANA";14
"432065 SILVEIRA MARTINS";1
"432067 SINIMBU";4
"432080 SOLEDADE";2
"432100 TAPERA";1
"432110 TAPES";10
"432140 TENENTE PORTELA";1
"432143 TERRA DE AREIA";2
"432145 TEUTONIA";2
"432147 TIRADENTES DO SUL";8
"432150 TORRES";17
"432210 TUCUNDUVA";3
"432215 TUNAS";1
"432230 TUPARENDI";3
"432237 UNISTALDA";5
"432240 URUGUAIANA";57
"432253 VALE DO SOL";8
"432260 VENANCIO AIRES";3
"432270 VERA CRUZ";11
"432320 VICTOR GRAEFF";2
"432340 VILA MARIA";1
"432380 XANGRI-LA";5
"Total";1002
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
