Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";6
"430030 ALECRIM";6
"430040 ALEGRETE";1
"430050 ALPESTRE";2
"430063 AMARAL FERRADOR";1
"430165 BARAO";3
"430175 BARAO DO TRIUNFO";16
"430190 BARRA DO RIBEIRO";3
"430210 BENTO GONCALVES";3
"430215 BOA VISTA DAS MISSOES";1
"430290 CACEQUI";4
"430300 CACHOEIRA DO SUL";1
"430310 CACHOEIRINHA";13
"430320 CACIQUE DOBLE";2
"430350 CAMAQUA";10
"430390 CAMPO BOM";9
"430440 CANELA";2
"430450 CANGUCU";25
"430460 CANOAS";11
"430463 CAPAO DA CANOA";1
"430466 CAPAO DO LEAO";1
"430467 CAPIVARI DO SUL";2
"430468 CAPELA DE SANTANA";168
"430471 CARAA";1
"430490 CASCA";2
"430510 CAXIAS DO SUL";46
"430512 CERRITO";1
"430513 CERRO BRANCO";3
"430517 CERRO GRANDE DO SUL";5
"430545 CIDREIRA";3
"430580 CONSTANTINA";2
"430610 CRUZ ALTA";37
"430620 CRUZEIRO DO SUL";1
"430660 DOM PEDRITO";7
"430676 ELDORADO DO SUL";8
"430690 ENCRUZILHADA DO SUL";1
"430692 ENGENHO VELHO";1
"430693 ENTRE-IJUIS";2
"430700 ERECHIM";2
"430710 HERVAL";6
"430745 ESPERANCA DO SUL";1
"430750 ESPUMOSO";1
"430760 ESTANCIA VELHA";8
"430770 ESTEIO";1
"430780 ESTRELA";4
"430790 FARROUPILHA";1
"430820 FLORES DA CUNHA";2
"430830 FONTOURA XAVIER";3
"430843 FORQUETINHA";13
"430910 GRAMADO";2
"430915 GRAMADO XAVIER";2
"430930 GUAIBA";16
"430955 HARMONIA";3
"430957 HERVEIRAS";2
"430960 HORIZONTINA";9
"430980 IBIACA";1
"431010 IGREJINHA";1
"431060 ITAQUI";12
"431080 IVOTI";3
"431100 JAGUARAO";21
"431120 JULIO DE CASTILHOS";3
"431140 LAJEADO";9
"431150 LAVRAS DO SUL";3
"431170 MACHADINHO";6
"431177 MAQUINE";3
"431179 MARATA";2
"431180 MARAU";1
"431210 MATA";5
"431217 MATO QUEIMADO";1
"431220 MAXIMILIANO DE ALMEIDA";1
"431240 MONTENEGRO";12
"431250 MOSTARDAS";3
"431262 MULITERNO";1
"431265 NAO-ME-TOQUE";1
"431320 NOVA PETROPOLIS";2
"431330 NOVA PRATA";4
"431340 NOVO HAMBURGO";1
"431342 NOVO MACHADO";1
"431410 PASSO FUNDO";21
"431440 PELOTAS";72
"431455 PIRAPO";16
"431460 PIRATINI";5
"431470 PLANALTO";3
"431505 PORTO MAUA";1
"431510 PORTO XAVIER";1
"431532 QUEVEDOS";2
"431535 QUINZE DE NOVEMBRO";1
"431550 RESTINGA SECA";2
"431560 RIO GRANDE";18
"431610 RONDA ALTA";9
"431620 RONDINHA";2
"431630 ROQUE GONZALES";1
"431640 ROSARIO DO SUL";6
"431643 SALDANHA MARINHO";1
"431670 SANTA BARBARA DO SUL";9
"431680 SANTA CRUZ DO SUL";30
"431710 SANT'ANA DO LIVRAMENTO";2
"431740 SANTIAGO";6
"431750 SANTO ANGELO";222
"431770 SANTO ANTONIO DAS MISSOES";1
"431800 SAO BORJA";1
"431830 SAO GABRIEL";13
"431850 SAO JOSE DO NORTE";5
"431860 SAO JOSE DO OURO";7
"431870 SAO LEOPOLDO";17
"431890 SAO LUIZ GONZAGA";21
"431936 SAO PEDRO DAS MISSOES";1
"431960 SAO SEPE";13
"431970 SAO VALENTIM";9
"431990 SAPIRANGA";13
"432000 SAPUCAIA DO SUL";7
"432010 SARANDI";49
"432035 SENTINELA DO SUL";12
"432040 SERAFINA CORREA";1
"432050 SERTAO";5
"432055 SERTAO SANTANA";17
"432065 SILVEIRA MARTINS";1
"432067 SINIMBU";2
"432080 SOLEDADE";4
"432100 TAPERA";1
"432110 TAPES";8
"432140 TENENTE PORTELA";2
"432143 TERRA DE AREIA";4
"432145 TEUTONIA";2
"432146 TIO HUGO";1
"432147 TIRADENTES DO SUL";1
"432149 TOROPI";1
"432150 TORRES";2
"432200 TRIUNFO";27
"432215 TUNAS";1
"432220 TUPANCIRETA";1
"432230 TUPARENDI";2
"432237 UNISTALDA";30
"432240 URUGUAIANA";32
"432260 VENANCIO AIRES";1
"432270 VERA CRUZ";9
"432320 VICTOR GRAEFF";1
"432340 VILA MARIA";2
"432380 XANGRI-LA";8
"Total";1349
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
