Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"430003 ACEGUA";2
"430010 AGUDO";6
"430030 ALECRIM";4
"430040 ALEGRETE";4
"430050 ALPESTRE";5
"430064 AMETISTA DO SUL";1
"430107 ARROIO DO PADRE";3
"430165 BARAO";5
"430175 BARAO DO TRIUNFO";5
"430190 BARRA DO RIBEIRO";2
"430210 BENTO GONCALVES";3
"430220 BOA VISTA DO BURICA";1
"430235 BOM PRINCIPIO";1
"430290 CACEQUI";1
"430300 CACHOEIRA DO SUL";1
"430310 CACHOEIRINHA";22
"430320 CACIQUE DOBLE";5
"430350 CAMAQUA";10
"430390 CAMPO BOM";13
"430430 CANDIDO GODOI";17
"430450 CANGUCU";6
"430460 CANOAS";14
"430463 CAPAO DA CANOA";1
"430467 CAPIVARI DO SUL";1
"430468 CAPELA DE SANTANA";7
"430471 CARAA";1
"430510 CAXIAS DO SUL";45
"430517 CERRO GRANDE DO SUL";4
"430535 CHARQUEADAS";30
"430605 CRISTAL";9
"430610 CRUZ ALTA";20
"430620 CRUZEIRO DO SUL";1
"430637 DILERMANDO DE AGUIAR";2
"430640 DOIS IRMAOS";1
"430660 DOM PEDRITO";2
"430670 DONA FRANCISCA";2
"430676 ELDORADO DO SUL";6
"430680 ENCANTADO";37
"430693 ENTRE-IJUIS";2
"430700 ERECHIM";9
"430710 HERVAL";3
"430760 ESTANCIA VELHA";6
"430770 ESTEIO";1
"430780 ESTRELA";4
"430800 FAXINAL DO SOTURNO";6
"430843 FORQUETINHA";14
"430910 GRAMADO";1
"430930 GUAIBA";12
"430955 HARMONIA";2
"430960 HORIZONTINA";9
"431000 IBIRUBA";1
"431010 IGREJINHA";3
"431033 IMBE";2
"431043 IPE";1
"431053 ITAARA";6
"431060 ITAQUI";9
"431080 IVOTI";9
"431100 JAGUARAO";30
"431120 JULIO DE CASTILHOS";2
"431127 LAGOA DOS TRES CANTOS";3
"431140 LAJEADO";11
"431150 LAVRAS DO SUL";3
"431160 LIBERATO SALZANO";29
"431177 MAQUINE";2
"431215 MATO LEITAO";1
"431240 MONTENEGRO";22
"431250 MOSTARDAS";3
"431265 NAO-ME-TOQUE";1
"431280 NOVA ARACA";1
"431290 NOVA BASSANO";3
"431300 NOVA BRESCIA";2
"431310 NOVA PALMA";2
"431320 NOVA PETROPOLIS";2
"431330 NOVA PRATA";2
"431340 NOVO HAMBURGO";2
"431342 NOVO MACHADO";2
"431410 PASSO FUNDO";51
"431440 PELOTAS";51
"431445 PINHAL";2
"431450 PINHEIRO MACHADO";1
"431455 PIRAPO";8
"431460 PIRATINI";1
"431470 PLANALTO";2
"431477 PONTAO";1
"431500 PORTO LUCENA";2
"431505 PORTO MAUA";1
"431520 PUTINGA";1
"431550 RESTINGA SECA";4
"431555 RIO DOS INDIOS";1
"431560 RIO GRANDE";54
"431570 RIO PARDO";1
"431610 RONDA ALTA";1
"431620 RONDINHA";2
"431630 ROQUE GONZALES";2
"431640 ROSARIO DO SUL";1
"431670 SANTA BARBARA DO SUL";15
"431680 SANTA CRUZ DO SUL";16
"431690 SANTA MARIA";1
"431710 SANT'ANA DO LIVRAMENTO";2
"431720 SANTA ROSA";1
"431740 SANTIAGO";3
"431750 SANTO ANGELO";85
"431755 SANTO ANTONIO DO PALMA";1
"431760 SANTO ANTONIO DA PATRULHA";1
"431770 SANTO ANTONIO DAS MISSOES";5
"431795 SANTO EXPEDITO DO SUL";1
"431810 SAO FRANCISCO DE ASSIS";1
"431830 SAO GABRIEL";6
"431842 SAO JOAO DA URTIGA";3
"431850 SAO JOSE DO NORTE";1
"431860 SAO JOSE DO OURO";14
"431870 SAO LEOPOLDO";6
"431890 SAO LUIZ GONZAGA";19
"431960 SAO SEPE";1
"431970 SAO VALENTIM";6
"431990 SAPIRANGA";5
"432000 SAPUCAIA DO SUL";6
"432010 SARANDI";58
"432035 SENTINELA DO SUL";13
"432055 SERTAO SANTANA";8
"432067 SINIMBU";5
"432100 TAPERA";12
"432110 TAPES";4
"432130 TAQUARI";2
"432140 TENENTE PORTELA";42
"432143 TERRA DE AREIA";1
"432145 TEUTONIA";4
"432146 TIO HUGO";1
"432147 TIRADENTES DO SUL";3
"432149 TOROPI";1
"432150 TORRES";9
"432166 TRES CACHOEIRAS";5
"432200 TRIUNFO";68
"432230 TUPARENDI";1
"432237 UNISTALDA";4
"432240 URUGUAIANA";23
"432252 VALE VERDE";1
"432253 VALE DO SOL";9
"432260 VENANCIO AIRES";17
"432270 VERA CRUZ";6
"432285 VESPASIANO CORREA";2
"432300 VIAMAO";1
"432340 VILA MARIA";5
"432380 XANGRI-LA";4
"Total";1218
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
