Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"430003 ACEGUA";8
"430010 AGUDO";7
"430020 AJURICABA";1
"430030 ALECRIM";12
"430040 ALEGRETE";4
"430050 ALPESTRE";2
"430080 ANTONIO PRADO";2
"430090 ARATIBA";5
"430175 BARAO DO TRIUNFO";14
"430210 BENTO GONCALVES";2
"430220 BOA VISTA DO BURICA";25
"430290 CACEQUI";7
"430300 CACHOEIRA DO SUL";3
"430310 CACHOEIRINHA";23
"430320 CACIQUE DOBLE";1
"430350 CAMAQUA";9
"430390 CAMPO BOM";10
"430430 CANDIDO GODOI";3
"430440 CANELA";8
"430450 CANGUCU";10
"430460 CANOAS";27
"430463 CAPAO DA CANOA";2
"430467 CAPIVARI DO SUL";2
"430468 CAPELA DE SANTANA";4
"430495 CASEIROS";1
"430510 CAXIAS DO SUL";55
"430512 CERRITO";6
"430517 CERRO GRANDE DO SUL";2
"430535 CHARQUEADAS";25
"430545 CIDREIRA";1
"430580 CONSTANTINA";1
"430610 CRUZ ALTA";26
"430630 DAVID CANABARRO";2
"430637 DILERMANDO DE AGUIAR";2
"430660 DOM PEDRITO";7
"430670 DONA FRANCISCA";1
"430673 DOUTOR MAURICIO CARDOSO";9
"430676 ELDORADO DO SUL";2
"430680 ENCANTADO";47
"430700 ERECHIM";4
"430710 HERVAL";1
"430760 ESTANCIA VELHA";24
"430770 ESTEIO";13
"430780 ESTRELA";2
"430843 FORQUETINHA";2
"430850 FREDERICO WESTPHALEN";1
"430880 GENERAL CAMARA";1
"430905 GLORINHA";7
"430930 GUAIBA";13
"430955 HARMONIA";1
"430957 HERVEIRAS";1
"430960 HORIZONTINA";3
"431010 IGREJINHA";1
"431053 ITAARA";34
"431060 ITAQUI";8
"431080 IVOTI";29
"431100 JAGUARAO";9
"431113 JARI";12
"431127 LAGOA DOS TRES CANTOS";1
"431140 LAJEADO";12
"431170 MACHADINHO";1
"431210 MATA";2
"431213 MATO CASTELHANO";1
"431240 MONTENEGRO";10
"431275 NOVA ALVORADA";5
"431280 NOVA ARACA";3
"431290 NOVA BASSANO";5
"431301 NOVA CANDELARIA";1
"431310 NOVA PALMA";1
"431320 NOVA PETROPOLIS";4
"431330 NOVA PRATA";3
"431340 NOVO HAMBURGO";9
"431342 NOVO MACHADO";1
"431349 NOVO BARREIRO";2
"431410 PASSO FUNDO";67
"431440 PELOTAS";84
"431445 PINHAL";3
"431447 PINHAL GRANDE";1
"431450 PINHEIRO MACHADO";2
"431455 PIRAPO";7
"431460 PIRATINI";1
"431477 PONTAO";1
"431500 PORTO LUCENA";3
"431532 QUEVEDOS";1
"431535 QUINZE DE NOVEMBRO";5
"431550 RESTINGA SECA";6
"431560 RIO GRANDE";21
"431620 RONDINHA";2
"431630 ROQUE GONZALES";2
"431640 ROSARIO DO SUL";4
"431643 SALDANHA MARINHO";3
"431670 SANTA BARBARA DO SUL";4
"431680 SANTA CRUZ DO SUL";34
"431690 SANTA MARIA";1
"431710 SANT'ANA DO LIVRAMENTO";6
"431720 SANTA ROSA";2
"431740 SANTIAGO";10
"431750 SANTO ANGELO";115
"431760 SANTO ANTONIO DA PATRULHA";4
"431770 SANTO ANTONIO DAS MISSOES";8
"431795 SANTO EXPEDITO DO SUL";1
"431800 SAO BORJA";5
"431830 SAO GABRIEL";1
"431842 SAO JOAO DA URTIGA";3
"431850 SAO JOSE DO NORTE";7
"431860 SAO JOSE DO OURO";3
"431890 SAO LUIZ GONZAGA";23
"431960 SAO SEPE";17
"431970 SAO VALENTIM";1
"431990 SAPIRANGA";11
"432000 SAPUCAIA DO SUL";29
"432010 SARANDI";5
"432032 SENADOR SALGADO FILHO";2
"432035 SENTINELA DO SUL";10
"432055 SERTAO SANTANA";7
"432065 SILVEIRA MARTINS";1
"432067 SINIMBU";1
"432080 SOLEDADE";2
"432100 TAPERA";11
"432110 TAPES";3
"432130 TAQUARI";8
"432140 TENENTE PORTELA";3
"432143 TERRA DE AREIA";1
"432145 TEUTONIA";4
"432146 TIO HUGO";1
"432147 TIRADENTES DO SUL";26
"432150 TORRES";20
"432170 TRES COROAS";32
"432180 TRES DE MAIO";1
"432185 TRES PALMEIRAS";1
"432200 TRIUNFO";216
"432210 TUCUNDUVA";1
"432230 TUPARENDI";3
"432237 UNISTALDA";5
"432240 URUGUAIANA";16
"432260 VENANCIO AIRES";9
"432270 VERA CRUZ";9
"432285 VESPASIANO CORREA";1
"432340 VILA MARIA";2
"432380 XANGRI-LA";2
"Total";1506
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
