Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";3
"430020 AJURICABA";3
"430030 ALECRIM";17
"430064 AMETISTA DO SUL";2
"430066 ANDRE DA ROCHA";1
"430107 ARROIO DO PADRE";2
"430175 BARAO DO TRIUNFO";9
"430210 BENTO GONCALVES";4
"430220 BOA VISTA DO BURICA";17
"430235 BOM PRINCIPIO";1
"430245 BOQUEIRAO DO LEAO";1
"430290 CACEQUI";1
"430300 CACHOEIRA DO SUL";1
"430310 CACHOEIRINHA";33
"430320 CACIQUE DOBLE";1
"430350 CAMAQUA";10
"430390 CAMPO BOM";8
"430440 CANELA";12
"430450 CANGUCU";7
"430460 CANOAS";15
"430463 CAPAO DA CANOA";32
"430467 CAPIVARI DO SUL";1
"430468 CAPELA DE SANTANA";2
"430471 CARAA";1
"430490 CASCA";1
"430510 CAXIAS DO SUL";44
"430512 CERRITO";2
"430513 CERRO BRANCO";1
"430517 CERRO GRANDE DO SUL";1
"430535 CHARQUEADAS";12
"430580 CONSTANTINA";5
"430585 COQUEIROS DO SUL";2
"430605 CRISTAL";3
"430610 CRUZ ALTA";15
"430620 CRUZEIRO DO SUL";2
"430637 DILERMANDO DE AGUIAR";3
"430640 DOIS IRMAOS";4
"430650 DOM FELICIANO";2
"430660 DOM PEDRITO";3
"430676 ELDORADO DO SUL";8
"430680 ENCANTADO";1
"430690 ENCRUZILHADA DO SUL";1
"430700 ERECHIM";7
"430710 HERVAL";2
"430760 ESTANCIA VELHA";5
"430770 ESTEIO";12
"430780 ESTRELA";5
"430790 FARROUPILHA";1
"430820 FLORES DA CUNHA";1
"430843 FORQUETINHA";2
"430845 FORTALEZA DOS VALOS";2
"430880 GENERAL CAMARA";1
"430905 GLORINHA";8
"430910 GRAMADO";2
"430930 GUAIBA";18
"430955 HARMONIA";4
"430960 HORIZONTINA";2
"431033 IMBE";1
"431053 ITAARA";11
"431060 ITAQUI";24
"431080 IVOTI";70
"431085 JABOTICABA";1
"431100 JAGUARAO";8
"431113 JARI";5
"431120 JULIO DE CASTILHOS";1
"431140 LAJEADO";10
"431150 LAVRAS DO SUL";2
"431177 MAQUINE";1
"431210 MATA";3
"431235 MONTAURI";1
"431240 MONTENEGRO";21
"431270 NONOAI";1
"431275 NOVA ALVORADA";20
"431280 NOVA ARACA";2
"431300 NOVA BRESCIA";1
"431310 NOVA PALMA";1
"431320 NOVA PETROPOLIS";3
"431340 NOVO HAMBURGO";7
"431342 NOVO MACHADO";2
"431395 PANTANO GRANDE";2
"431403 PARECI NOVO";1
"431410 PASSO FUNDO";40
"431440 PELOTAS";51
"431442 PICADA CAFE";4
"431447 PINHAL GRANDE";2
"431450 PINHEIRO MACHADO";3
"431477 PONTAO";4
"431480 PORTAO";2
"431500 PORTO LUCENA";6
"431505 PORTO MAUA";2
"431530 QUARAI";1
"431532 QUEVEDOS";1
"431535 QUINZE DE NOVEMBRO";3
"431550 RESTINGA SECA";5
"431560 RIO GRANDE";23
"431570 RIO PARDO";1
"431610 RONDA ALTA";2
"431620 RONDINHA";1
"431630 ROQUE GONZALES";1
"431640 ROSARIO DO SUL";1
"431647 SALVADOR DAS MISSOES";1
"431680 SANTA CRUZ DO SUL";33
"431690 SANTA MARIA";2
"431710 SANT'ANA DO LIVRAMENTO";2
"431720 SANTA ROSA";1
"431740 SANTIAGO";10
"431750 SANTO ANGELO";147
"431760 SANTO ANTONIO DA PATRULHA";1
"431770 SANTO ANTONIO DAS MISSOES";1
"431800 SAO BORJA";1
"431830 SAO GABRIEL";8
"431842 SAO JOAO DA URTIGA";2
"431850 SAO JOSE DO NORTE";2
"431890 SAO LUIZ GONZAGA";5
"431935 SAO PEDRO DA SERRA";1
"431990 SAPIRANGA";8
"432000 SAPUCAIA DO SUL";44
"432010 SARANDI";1
"432040 SERAFINA CORREA";1
"432055 SERTAO SANTANA";7
"432067 SINIMBU";1
"432100 TAPERA";13
"432110 TAPES";26
"432130 TAQUARI";4
"432140 TENENTE PORTELA";12
"432145 TEUTONIA";1
"432147 TIRADENTES DO SUL";1
"432150 TORRES";7
"432170 TRES COROAS";65
"432185 TRES PALMEIRAS";2
"432200 TRIUNFO";22
"432210 TUCUNDUVA";1
"432232 TURUCU";33
"432237 UNISTALDA";8
"432240 URUGUAIANA";18
"432252 VALE VERDE";1
"432260 VENANCIO AIRES";1
"432270 VERA CRUZ";7
"432285 VESPASIANO CORREA";1
"432320 VICTOR GRAEFF";1
"432377 WESTFALIA";1
"Total";1222
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
