Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rio Grande do Sul
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"430010 AGUDO";4
"430030 ALECRIM";6
"430040 ALEGRETE";3
"430050 ALPESTRE";2
"430064 AMETISTA DO SUL";1
"430175 BARAO DO TRIUNFO";4
"430210 BENTO GONCALVES";3
"430220 BOA VISTA DO BURICA";19
"430222 BOA VISTA DO CADEADO";1
"430245 BOQUEIRAO DO LEAO";1
"430300 CACHOEIRA DO SUL";3
"430310 CACHOEIRINHA";17
"430320 CACIQUE DOBLE";4
"430350 CAMAQUA";6
"430390 CAMPO BOM";10
"430420 CANDELARIA";1
"430440 CANELA";94
"430450 CANGUCU";21
"430460 CANOAS";25
"430463 CAPAO DA CANOA";46
"430465 CAPAO DO CIPO";1
"430467 CAPIVARI DO SUL";1
"430510 CAXIAS DO SUL";40
"430512 CERRITO";1
"430513 CERRO BRANCO";3
"430517 CERRO GRANDE DO SUL";1
"430535 CHARQUEADAS";48
"430543 CHUI";2
"430545 CIDREIRA";2
"430580 CONSTANTINA";1
"430610 CRUZ ALTA";11
"430620 CRUZEIRO DO SUL";1
"430640 DOIS IRMAOS";4
"430650 DOM FELICIANO";4
"430660 DOM PEDRITO";4
"430673 DOUTOR MAURICIO CARDOSO";1
"430676 ELDORADO DO SUL";10
"430692 ENGENHO VELHO";1
"430700 ERECHIM";5
"430710 HERVAL";4
"430760 ESTANCIA VELHA";1
"430770 ESTEIO";37
"430780 ESTRELA";3
"430845 FORTALEZA DOS VALOS";9
"430850 FREDERICO WESTPHALEN";5
"430905 GLORINHA";20
"430930 GUAIBA";18
"430955 HARMONIA";7
"430960 HORIZONTINA";1
"430980 IBIACA";1
"431000 IBIRUBA";1
"431033 IMBE";2
"431053 ITAARA";5
"431060 ITAQUI";24
"431080 IVOTI";15
"431085 JABOTICABA";1
"431100 JAGUARAO";3
"431120 JULIO DE CASTILHOS";3
"431140 LAJEADO";18
"431150 LAVRAS DO SUL";4
"431160 LIBERATO SALZANO";4
"431170 MACHADINHO";2
"431177 MAQUINE";3
"431215 MATO LEITAO";1
"431230 MIRAGUAI";6
"431240 MONTENEGRO";12
"431242 MORMACO";1
"431250 MOSTARDAS";1
"431275 NOVA ALVORADA";14
"431280 NOVA ARACA";3
"431310 NOVA PALMA";2
"431320 NOVA PETROPOLIS";2
"431330 NOVA PRATA";1
"431340 NOVO HAMBURGO";12
"431346 NOVO XINGU";1
"431403 PARECI NOVO";4
"431410 PASSO FUNDO";37
"431440 PELOTAS";62
"431447 PINHAL GRANDE";1
"431450 PINHEIRO MACHADO";1
"431470 PLANALTO";2
"431475 POCO DAS ANTAS";4
"431477 PONTAO";1
"431480 PORTAO";68
"431517 PROTASIO ALVES";1
"431532 QUEVEDOS";1
"431535 QUINZE DE NOVEMBRO";2
"431550 RESTINGA SECA";3
"431560 RIO GRANDE";26
"431570 RIO PARDO";2
"431575 RIOZINHO";6
"431610 RONDA ALTA";1
"431620 RONDINHA";1
"431670 SANTA BARBARA DO SUL";1
"431675 SANTA CLARA DO SUL";1
"431680 SANTA CRUZ DO SUL";29
"431690 SANTA MARIA";4
"431710 SANT'ANA DO LIVRAMENTO";1
"431720 SANTA ROSA";1
"431740 SANTIAGO";4
"431750 SANTO ANGELO";266
"431760 SANTO ANTONIO DA PATRULHA";2
"431770 SANTO ANTONIO DAS MISSOES";5
"431820 SAO FRANCISCO DE PAULA";1
"431830 SAO GABRIEL";6
"431842 SAO JOAO DA URTIGA";15
"431850 SAO JOSE DO NORTE";2
"431870 SAO LEOPOLDO";2
"431890 SAO LUIZ GONZAGA";4
"431935 SAO PEDRO DA SERRA";1
"431990 SAPIRANGA";10
"432000 SAPUCAIA DO SUL";36
"432032 SENADOR SALGADO FILHO";2
"432055 SERTAO SANTANA";5
"432067 SINIMBU";1
"432080 SOLEDADE";1
"432110 TAPES";41
"432130 TAQUARI";22
"432140 TENENTE PORTELA";3
"432143 TERRA DE AREIA";2
"432145 TEUTONIA";9
"432146 TIO HUGO";1
"432147 TIRADENTES DO SUL";6
"432150 TORRES";10
"432170 TRES COROAS";20
"432190 TRES PASSOS";1
"432200 TRIUNFO";7
"432232 TURUCU";19
"432237 UNISTALDA";3
"432240 URUGUAIANA";27
"432260 VENANCIO AIRES";1
"432270 VERA CRUZ";3
"432285 VESPASIANO CORREA";1
"Total";1458
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
