Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";8
"110002 ARIQUEMES";44
"110004 CACOAL";9
"110005 CEREJEIRAS";3
"110006 COLORADO DO OESTE";3
"110009 ESPIGAO D'OESTE";1
"110011 JARU";6
"110012 JI-PARANA";5
"110015 OURO PRETO DO OESTE";4
"110018 PIMENTA BUENO";2
"110020 PORTO VELHO";4
"110026 RIO CRESPO";8
"110028 ROLIM DE MOURA";3
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";13
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";5
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110045 BURITIS";1
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";1
"110120 MINISTRO ANDREAZZA";2
"110140 MONTE NEGRO";1
"110143 NOVA UNIAO";2
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";3
"110175 VALE DO ANARI";1
"Total";144
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
