Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";29
"110004 CACOAL";5
"110006 COLORADO DO OESTE";5
"110009 ESPIGAO D'OESTE";3
"110010 GUAJARA-MIRIM";11
"110011 JARU";12
"110012 JI-PARANA";15
"110013 MACHADINHO D'OESTE";4
"110020 PORTO VELHO";2
"110028 ROLIM DE MOURA";2
"110029 SANTA LUZIA D'OESTE";5
"110030 VILHENA";19
"110032 SAO MIGUEL DO GUAPORE";8
"110033 NOVA MAMORE";1
"110037 ALTO ALEGRE DOS PARECIS";3
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";5
"110092 CHUPINGUAIA";12
"110094 CUJUBIM";6
"110120 MINISTRO ANDREAZZA";1
"110140 MONTE NEGRO";1
"110143 NOVA UNIAO";5
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";1
"110160 THEOBROMA";8
"110170 URUPA";1
"110175 VALE DO ANARI";1
"Total";168
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
