Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";19
"110004 CACOAL";2
"110005 CEREJEIRAS";2
"110006 COLORADO DO OESTE";2
"110009 ESPIGAO D'OESTE";1
"110010 GUAJARA-MIRIM";5
"110011 JARU";9
"110012 JI-PARANA";10
"110013 MACHADINHO D'OESTE";3
"110014 NOVA BRASILANDIA D'OESTE";2
"110020 PORTO VELHO";6
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";11
"110032 SAO MIGUEL DO GUAPORE";3
"110040 ALTO PARAISO";1
"110050 NOVO HORIZONTE DO OESTE";3
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";4
"110094 CUJUBIM";5
"110143 NOVA UNIAO";6
"110150 SERINGUEIRAS";1
"110160 THEOBROMA";12
"110170 URUPA";1
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";2
"Total";117
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
