Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"110002 ARIQUEMES";16
"110004 CACOAL";2
"110006 COLORADO DO OESTE";3
"110009 ESPIGAO D'OESTE";4
"110010 GUAJARA-MIRIM";2
"110011 JARU";8
"110012 JI-PARANA";5
"110013 MACHADINHO D'OESTE";8
"110014 NOVA BRASILANDIA D'OESTE";1
"110020 PORTO VELHO";4
"110029 SANTA LUZIA D'OESTE";4
"110030 VILHENA";7
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";1
"110045 BURITIS";2
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";5
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";6
"110143 NOVA UNIAO";2
"110160 THEOBROMA";5
"110170 URUPA";4
"110180 VALE DO PARAISO";3
"Total";99
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
