Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";5
"110002 ARIQUEMES";42
"110004 CACOAL";14
"110006 COLORADO DO OESTE";3
"110009 ESPIGAO D'OESTE";2
"110011 JARU";7
"110012 JI-PARANA";7
"110013 MACHADINHO D'OESTE";3
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";12
"110026 RIO CRESPO";5
"110028 ROLIM DE MOURA";1
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";18
"110033 NOVA MAMORE";9
"110034 ALVORADA D'OESTE";3
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";1
"110050 NOVO HORIZONTE DO OESTE";2
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";1
"110110 ITAPUA DO OESTE";2
"110120 MINISTRO ANDREAZZA";3
"110130 MIRANTE DA SERRA";2
"110143 NOVA UNIAO";6
"110149 SAO FRANCISCO DO GUAPORE";4
"110160 THEOBROMA";14
"110180 VALE DO PARAISO";3
"Total";183
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
