Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";77
"110004 CACOAL";14
"110005 CEREJEIRAS";3
"110006 COLORADO DO OESTE";1
"110009 ESPIGAO D'OESTE";2
"110010 GUAJARA-MIRIM";3
"110011 JARU";9
"110012 JI-PARANA";19
"110013 MACHADINHO D'OESTE";1
"110015 OURO PRETO DO OESTE";34
"110020 PORTO VELHO";6
"110025 PRESIDENTE MEDICI";1
"110026 RIO CRESPO";2
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";18
"110033 NOVA MAMORE";9
"110034 ALVORADA D'OESTE";5
"110037 ALTO ALEGRE DOS PARECIS";1
"110045 BURITIS";3
"110050 NOVO HORIZONTE DO OESTE";3
"110060 CACAULANDIA";5
"110080 CANDEIAS DO JAMARI";1
"110094 CUJUBIM";2
"110110 ITAPUA DO OESTE";1
"110130 MIRANTE DA SERRA";2
"110140 MONTE NEGRO";1
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";17
"110180 VALE DO PARAISO";3
"Total";249
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
