Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";64
"110004 CACOAL";6
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";4
"110009 ESPIGAO D'OESTE";5
"110010 GUAJARA-MIRIM";7
"110011 JARU";7
"110012 JI-PARANA";20
"110013 MACHADINHO D'OESTE";8
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";77
"110018 PIMENTA BUENO";2
"110020 PORTO VELHO";21
"110025 PRESIDENTE MEDICI";1
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";3
"110030 VILHENA";10
"110032 SAO MIGUEL DO GUAPORE";5
"110033 NOVA MAMORE";7
"110034 ALVORADA D'OESTE";4
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";1
"110045 BURITIS";3
"110050 NOVO HORIZONTE DO OESTE";6
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";9
"110110 ITAPUA DO OESTE";5
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";3
"110149 SAO FRANCISCO DO GUAPORE";2
"110160 THEOBROMA";2
"110175 VALE DO ANARI";1
"Total";304
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
