Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";63
"110004 CACOAL";15
"110005 CEREJEIRAS";1
"110006 COLORADO DO OESTE";4
"110009 ESPIGAO D'OESTE";4
"110010 GUAJARA-MIRIM";10
"110011 JARU";9
"110012 JI-PARANA";17
"110013 MACHADINHO D'OESTE";3
"110015 OURO PRETO DO OESTE";57
"110020 PORTO VELHO";9
"110030 VILHENA";8
"110032 SAO MIGUEL DO GUAPORE";6
"110033 NOVA MAMORE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";1
"110045 BURITIS";2
"110050 NOVO HORIZONTE DO OESTE";4
"110080 CANDEIAS DO JAMARI";3
"110092 CHUPINGUAIA";7
"110094 CUJUBIM";5
"110110 ITAPUA DO OESTE";9
"110143 NOVA UNIAO";3
"110147 PRIMAVERA DE RONDONIA";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110160 THEOBROMA";4
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";2
"Total";255
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
