Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";31
"110004 CACOAL";5
"110005 CEREJEIRAS";3
"110006 COLORADO DO OESTE";3
"110007 CORUMBIARA";4
"110010 GUAJARA-MIRIM";6
"110011 JARU";10
"110012 JI-PARANA";12
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";18
"110020 PORTO VELHO";8
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";2
"110030 VILHENA";16
"110032 SAO MIGUEL DO GUAPORE";2
"110033 NOVA MAMORE";4
"110034 ALVORADA D'OESTE";5
"110045 BURITIS";2
"110080 CANDEIAS DO JAMARI";3
"110092 CHUPINGUAIA";5
"110094 CUJUBIM";2
"110110 ITAPUA DO OESTE";1
"110140 MONTE NEGRO";3
"110143 NOVA UNIAO";1
"110150 SERINGUEIRAS";1
"110160 THEOBROMA";10
"110180 VALE DO PARAISO";2
"Total";163
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
