Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";21
"110004 CACOAL";5
"110005 CEREJEIRAS";2
"110006 COLORADO DO OESTE";4
"110009 ESPIGAO D'OESTE";3
"110010 GUAJARA-MIRIM";5
"110011 JARU";7
"110012 JI-PARANA";21
"110015 OURO PRETO DO OESTE";14
"110020 PORTO VELHO";2
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";2
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";18
"110032 SAO MIGUEL DO GUAPORE";7
"110034 ALVORADA D'OESTE";2
"110045 BURITIS";1
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";10
"110094 CUJUBIM";8
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";4
"110143 NOVA UNIAO";2
"110147 PRIMAVERA DE RONDONIA";1
"110149 SAO FRANCISCO DO GUAPORE";3
"110160 THEOBROMA";1
"110175 VALE DO ANARI";1
"Total";157
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
