Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";89
"110004 CACOAL";6
"110006 COLORADO DO OESTE";3
"110009 ESPIGAO D'OESTE";6
"110010 GUAJARA-MIRIM";11
"110011 JARU";10
"110012 JI-PARANA";12
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";11
"110020 PORTO VELHO";18
"110025 PRESIDENTE MEDICI";1
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";13
"110032 SAO MIGUEL DO GUAPORE";5
"110033 NOVA MAMORE";1
"110037 ALTO ALEGRE DOS PARECIS";3
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";5
"110092 CHUPINGUAIA";14
"110094 CUJUBIM";2
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";4
"110140 MONTE NEGRO";4
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";3
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";1
"110170 URUPA";2
"110180 VALE DO PARAISO";2
"Total";240
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
