Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Rondônia
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";47
"110004 CACOAL";10
"110005 CEREJEIRAS";4
"110006 COLORADO DO OESTE";4
"110009 ESPIGAO D'OESTE";1
"110010 GUAJARA-MIRIM";2
"110011 JARU";13
"110012 JI-PARANA";10
"110013 MACHADINHO D'OESTE";2
"110015 OURO PRETO DO OESTE";8
"110020 PORTO VELHO";7
"110025 PRESIDENTE MEDICI";1
"110028 ROLIM DE MOURA";2
"110030 VILHENA";15
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";3
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";1
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";1
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";1
"110092 CHUPINGUAIA";8
"110094 CUJUBIM";4
"110110 ITAPUA DO OESTE";2
"110143 NOVA UNIAO";2
"110145 PARECIS";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";1
"110160 THEOBROMA";5
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";3
"Total";169
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
