Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"420200 BALNEARIO CAMBORIU";15
"420220 BENEDITO NOVO";1
"420230 BIGUACU";8
"420240 BLUMENAU";3
"420280 BRACO DO NORTE";3
"420290 BRUSQUE";2
"420300 CACADOR";1
"420320 CAMBORIU";7
"420380 CANOINHAS";4
"420395 CAPIVARI DE BAIXO";3
"420425 COCAL DO SUL";14
"420430 CONCORDIA";7
"420435 CORDILHEIRA ALTA";1
"420460 CRICIUMA";41
"420530 FAXINAL DOS GUEDES";5
"420670 HERVAL D'OESTE";20
"420675 IBIAM";7
"420730 IMBITUBA";19
"420750 INDAIAL";6
"420830 ITAPEMA";4
"420845 ITAPOA";1
"420890 JARAGUA DO SUL";15
"420900 JOACABA";4
"420930 LAGES";5
"421010 MAFRA";9
"421110 MONTE CASTELO";6
"421130 NAVEGANTES";25
"421220 PAPANDUVA";2
"421320 POMERODE";7
"421360 PORTO UNIAO";6
"421500 RIO NEGRINHO";3
"421550 SANTA CECILIA";1
"421580 SAO BENTO DO SUL";7
"421620 SAO FRANCISCO DO SUL";4
"421770 SOMBRIO";1
"421930 VIDEIRA";5
"421950 XANXERE";7
"Total";279
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
