Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";5
"420040 AGUA DOCE";1
"420200 BALNEARIO CAMBORIU";14
"420220 BENEDITO NOVO";1
"420230 BIGUACU";1
"420240 BLUMENAU";49
"420243 BOCAINA DO SUL";2
"420290 BRUSQUE";1
"420360 CAMPOS NOVOS";17
"420380 CANOINHAS";8
"420395 CAPIVARI DE BAIXO";2
"420425 COCAL DO SUL";2
"420455 CORREIA PINTO";2
"420460 CRICIUMA";59
"420530 FAXINAL DOS GUEDES";1
"420540 FLORIANOPOLIS";38
"420545 FORQUILHINHA";2
"420590 GASPAR";5
"420600 GOVERNADOR CELSO RAMOS";15
"420750 INDAIAL";9
"420765 IPORA DO OESTE";2
"420800 ITA";4
"420830 ITAPEMA";19
"420890 JARAGUA DO SUL";10
"420900 JOACABA";27
"420930 LAGES";53
"420970 LEBON REGIS";5
"421000 LUIZ ALVES";1
"421010 MAFRA";12
"421100 MONDAI";1
"421110 MONTE CASTELO";1
"421130 NAVEGANTES";1
"421210 PALMITOS";4
"421220 PAPANDUVA";3
"421360 PORTO UNIAO";4
"421500 RIO NEGRINHO";4
"421540 SALTO VELOSO";3
"421580 SAO BENTO DO SUL";23
"421620 SAO FRANCISCO DO SUL";1
"421630 SAO JOAO BATISTA";2
"421720 SAO MIGUEL DO OESTE";1
"421755 SERRA ALTA";1
"421770 SOMBRIO";14
"421775 SUL BRASIL";1
"421840 TREZE DE MAIO";1
"421850 TREZE TILIAS";1
"421930 VIDEIRA";17
"421950 XANXERE";5
"Total";455
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
