Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";4
"420040 AGUA DOCE";2
"420200 BALNEARIO CAMBORIU";13
"420240 BLUMENAU";46
"420243 BOCAINA DO SUL";8
"420290 BRUSQUE";3
"420300 CACADOR";12
"420360 CAMPOS NOVOS";6
"420380 CANOINHAS";8
"420395 CAPIVARI DE BAIXO";7
"420410 CAXAMBU DO SUL";1
"420425 COCAL DO SUL";2
"420460 CRICIUMA";48
"420530 FAXINAL DOS GUEDES";2
"420540 FLORIANOPOLIS";66
"420545 FORQUILHINHA";2
"420590 GASPAR";8
"420600 GOVERNADOR CELSO RAMOS";3
"420730 IMBITUBA";3
"420750 INDAIAL";5
"420760 IPIRA";4
"420765 IPORA DO OESTE";7
"420800 ITA";1
"420830 ITAPEMA";5
"420890 JARAGUA DO SUL";7
"420900 JOACABA";11
"420930 LAGES";31
"420970 LEBON REGIS";1
"421010 MAFRA";8
"421100 MONDAI";1
"421130 NAVEGANTES";1
"421165 NOVO HORIZONTE";1
"421210 PALMITOS";1
"421360 PORTO UNIAO";3
"421500 RIO NEGRINHO";3
"421550 SANTA CECILIA";1
"421580 SAO BENTO DO SUL";18
"421620 SAO FRANCISCO DO SUL";7
"421635 SAO JOAO DO ITAPERIU";42
"421690 SAO LOURENCO DO OESTE";1
"421770 SOMBRIO";1
"421775 SUL BRASIL";1
"421930 VIDEIRA";7
"421950 XANXERE";3
"421985 ZORTEA";3
"Total";418
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
