Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";2
"420040 AGUA DOCE";1
"420200 BALNEARIO CAMBORIU";6
"420240 BLUMENAU";34
"420243 BOCAINA DO SUL";4
"420290 BRUSQUE";8
"420300 CACADOR";3
"420320 CAMBORIU";1
"420360 CAMPOS NOVOS";7
"420395 CAPIVARI DE BAIXO";6
"420425 COCAL DO SUL";3
"420455 CORREIA PINTO";1
"420460 CRICIUMA";43
"420530 FAXINAL DOS GUEDES";3
"420540 FLORIANOPOLIS";31
"420545 FORQUILHINHA";3
"420730 IMBITUBA";2
"420750 INDAIAL";3
"420760 IPIRA";1
"420765 IPORA DO OESTE";3
"420830 ITAPEMA";5
"420890 JARAGUA DO SUL";12
"420900 JOACABA";4
"420930 LAGES";13
"420945 LAJEADO GRANDE";1
"421000 LUIZ ALVES";1
"421010 MAFRA";5
"421165 NOVO HORIZONTE";1
"421220 PAPANDUVA";1
"421360 PORTO UNIAO";5
"421500 RIO NEGRINHO";2
"421550 SANTA CECILIA";1
"421580 SAO BENTO DO SUL";7
"421620 SAO FRANCISCO DO SUL";1
"421630 SAO JOAO BATISTA";1
"421635 SAO JOAO DO ITAPERIU";16
"421690 SAO LOURENCO DO OESTE";1
"421720 SAO MIGUEL DO OESTE";13
"421770 SOMBRIO";15
"421917 VARGEM BONITA";1
"421930 VIDEIRA";5
"421950 XANXERE";6
"421985 ZORTEA";1
"Total";283
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
