Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"420127 ARABUTA";3
"420200 BALNEARIO CAMBORIU";11
"420213 BELA VISTA DO TOLDO";2
"420230 BIGUACU";1
"420240 BLUMENAU";1
"420280 BRACO DO NORTE";4
"420300 CACADOR";9
"420310 CAIBI";2
"420320 CAMBORIU";6
"420380 CANOINHAS";7
"420395 CAPIVARI DE BAIXO";1
"420410 CAXAMBU DO SUL";1
"420425 COCAL DO SUL";2
"420430 CONCORDIA";9
"420435 CORDILHEIRA ALTA";1
"420450 CORUPA";1
"420460 CRICIUMA";66
"420530 FAXINAL DOS GUEDES";1
"420545 FORQUILHINHA";2
"420590 GASPAR";15
"420670 HERVAL D'OESTE";10
"420675 IBIAM";2
"420730 IMBITUBA";22
"420750 INDAIAL";3
"420760 IPIRA";1
"420800 ITA";1
"420830 ITAPEMA";10
"420845 ITAPOA";2
"420890 JARAGUA DO SUL";20
"420900 JOACABA";1
"420930 LAGES";10
"421000 LUIZ ALVES";1
"421010 MAFRA";3
"421130 NAVEGANTES";15
"421210 PALMITOS";2
"421220 PAPANDUVA";9
"421320 POMERODE";8
"421360 PORTO UNIAO";4
"421500 RIO NEGRINHO";2
"421535 SALTINHO";1
"421550 SANTA CECILIA";1
"421580 SAO BENTO DO SUL";18
"421620 SAO FRANCISCO DO SUL";1
"421720 SAO MIGUEL DO OESTE";1
"421770 SOMBRIO";25
"421775 SUL BRASIL";3
"421820 TIMBO";1
"421915 VARGEM";9
"421930 VIDEIRA";10
"421950 XANXERE";4
"Total";345
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
