Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";5
"420055 AGUAS FRIAS";1
"420120 ANTONIO CARLOS";3
"420200 BALNEARIO CAMBORIU";13
"420230 BIGUACU";3
"420240 BLUMENAU";8
"420243 BOCAINA DO SUL";1
"420280 BRACO DO NORTE";8
"420290 BRUSQUE";1
"420300 CACADOR";12
"420320 CAMBORIU";9
"420380 CANOINHAS";24
"420395 CAPIVARI DE BAIXO";3
"420410 CAXAMBU DO SUL";1
"420425 COCAL DO SUL";4
"420430 CONCORDIA";8
"420450 CORUPA";1
"420455 CORREIA PINTO";1
"420460 CRICIUMA";67
"420530 FAXINAL DOS GUEDES";3
"420590 GASPAR";4
"420670 HERVAL D'OESTE";3
"420730 IMBITUBA";81
"420750 INDAIAL";3
"420760 IPIRA";4
"420830 ITAPEMA";7
"420890 JARAGUA DO SUL";23
"420900 JOACABA";1
"420930 LAGES";12
"421000 LUIZ ALVES";1
"421010 MAFRA";10
"421110 MONTE CASTELO";7
"421130 NAVEGANTES";13
"421210 PALMITOS";10
"421220 PAPANDUVA";2
"421320 POMERODE";10
"421360 PORTO UNIAO";4
"421500 RIO NEGRINHO";7
"421550 SANTA CECILIA";5
"421580 SAO BENTO DO SUL";21
"421605 SAO CRISTOVAO DO SUL";80
"421620 SAO FRANCISCO DO SUL";1
"421755 SERRA ALTA";1
"421770 SOMBRIO";32
"421775 SUL BRASIL";3
"421820 TIMBO";2
"421840 TREZE DE MAIO";1
"421910 VARGEAO";1
"421915 VARGEM";3
"421930 VIDEIRA";12
"421950 XANXERE";7
"421985 ZORTEA";1
"Total";548
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
