Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";2
"420040 AGUA DOCE";1
"420120 ANTONIO CARLOS";2
"420200 BALNEARIO CAMBORIU";23
"420220 BENEDITO NOVO";1
"420240 BLUMENAU";5
"420280 BRACO DO NORTE";4
"420300 CACADOR";5
"420310 CAIBI";2
"420320 CAMBORIU";13
"420380 CANOINHAS";9
"420395 CAPIVARI DE BAIXO";4
"420410 CAXAMBU DO SUL";1
"420430 CONCORDIA";8
"420435 CORDILHEIRA ALTA";1
"420460 CRICIUMA";61
"420530 FAXINAL DOS GUEDES";2
"420545 FORQUILHINHA";2
"420590 GASPAR";9
"420600 GOVERNADOR CELSO RAMOS";3
"420670 HERVAL D'OESTE";1
"420730 IMBITUBA";7
"420750 INDAIAL";9
"420830 ITAPEMA";10
"420890 JARAGUA DO SUL";18
"420930 LAGES";11
"421010 MAFRA";27
"421130 NAVEGANTES";7
"421210 PALMITOS";57
"421320 POMERODE";3
"421360 PORTO UNIAO";7
"421500 RIO NEGRINHO";2
"421550 SANTA CECILIA";3
"421580 SAO BENTO DO SUL";19
"421630 SAO JOAO BATISTA";6
"421690 SAO LOURENCO DO OESTE";1
"421755 SERRA ALTA";1
"421770 SOMBRIO";94
"421775 SUL BRASIL";1
"421915 VARGEM";1
"421930 VIDEIRA";5
"421950 XANXERE";3
"Total";451
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
