Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";1
"420120 ANTONIO CARLOS";5
"420200 BALNEARIO CAMBORIU";31
"420240 BLUMENAU";5
"420243 BOCAINA DO SUL";1
"420280 BRACO DO NORTE";3
"420300 CACADOR";3
"420320 CAMBORIU";24
"420380 CANOINHAS";10
"420395 CAPIVARI DE BAIXO";5
"420425 COCAL DO SUL";7
"420430 CONCORDIA";6
"420450 CORUPA";1
"420455 CORREIA PINTO";3
"420460 CRICIUMA";47
"420530 FAXINAL DOS GUEDES";3
"420545 FORQUILHINHA";6
"420590 GASPAR";14
"420600 GOVERNADOR CELSO RAMOS";24
"420730 IMBITUBA";11
"420750 INDAIAL";3
"420830 ITAPEMA";10
"420890 JARAGUA DO SUL";14
"420900 JOACABA";1
"420930 LAGES";20
"420945 LAJEADO GRANDE";1
"421005 MACIEIRA";16
"421010 MAFRA";4
"421110 MONTE CASTELO";5
"421120 MORRO DA FUMACA";4
"421130 NAVEGANTES";5
"421210 PALMITOS";25
"421220 PAPANDUVA";1
"421320 POMERODE";7
"421360 PORTO UNIAO";5
"421500 RIO NEGRINHO";4
"421580 SAO BENTO DO SUL";19
"421620 SAO FRANCISCO DO SUL";3
"421630 SAO JOAO BATISTA";10
"421770 SOMBRIO";28
"421775 SUL BRASIL";1
"421930 VIDEIRA";13
"421950 XANXERE";9
"Total";418
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
