Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";3
"420120 ANTONIO CARLOS";2
"420200 BALNEARIO CAMBORIU";9
"420230 BIGUACU";1
"420240 BLUMENAU";16
"420287 BRUNOPOLIS";1
"420300 CACADOR";5
"420320 CAMBORIU";16
"420360 CAMPOS NOVOS";2
"420380 CANOINHAS";5
"420395 CAPIVARI DE BAIXO";5
"420410 CAXAMBU DO SUL";1
"420425 COCAL DO SUL";1
"420430 CONCORDIA";7
"420435 CORDILHEIRA ALTA";1
"420450 CORUPA";2
"420455 CORREIA PINTO";3
"420460 CRICIUMA";49
"420545 FORQUILHINHA";4
"420590 GASPAR";10
"420600 GOVERNADOR CELSO RAMOS";12
"420730 IMBITUBA";12
"420750 INDAIAL";2
"420760 IPIRA";1
"420765 IPORA DO OESTE";2
"420830 ITAPEMA";7
"420890 JARAGUA DO SUL";12
"420900 JOACABA";4
"420930 LAGES";13
"420970 LEBON REGIS";1
"421005 MACIEIRA";1
"421010 MAFRA";15
"421130 NAVEGANTES";3
"421210 PALMITOS";29
"421220 PAPANDUVA";2
"421320 POMERODE";7
"421360 PORTO UNIAO";10
"421500 RIO NEGRINHO";6
"421550 SANTA CECILIA";1
"421580 SAO BENTO DO SUL";13
"421620 SAO FRANCISCO DO SUL";1
"421630 SAO JOAO BATISTA";5
"421725 SAO PEDRO DE ALCANTARA";1
"421770 SOMBRIO";8
"421775 SUL BRASIL";7
"421840 TREZE DE MAIO";1
"421930 VIDEIRA";17
"421950 XANXERE";5
"421985 ZORTEA";1
"Total";342
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
