Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";6
"420040 AGUA DOCE";1
"420055 AGUAS FRIAS";1
"420200 BALNEARIO CAMBORIU";21
"420230 BIGUACU";1
"420240 BLUMENAU";26
"420280 BRACO DO NORTE";2
"420300 CACADOR";1
"420310 CAIBI";1
"420320 CAMBORIU";13
"420360 CAMPOS NOVOS";46
"420380 CANOINHAS";9
"420395 CAPIVARI DE BAIXO";1
"420410 CAXAMBU DO SUL";1
"420425 COCAL DO SUL";4
"420430 CONCORDIA";3
"420455 CORREIA PINTO";2
"420460 CRICIUMA";70
"420530 FAXINAL DOS GUEDES";3
"420540 FLORIANOPOLIS";51
"420543 FORMOSA DO SUL";1
"420545 FORQUILHINHA";8
"420590 GASPAR";9
"420600 GOVERNADOR CELSO RAMOS";4
"420670 HERVAL D'OESTE";1
"420730 IMBITUBA";6
"420750 INDAIAL";8
"420760 IPIRA";3
"420830 ITAPEMA";8
"420890 JARAGUA DO SUL";14
"420900 JOACABA";1
"420920 LACERDOPOLIS";1
"420930 LAGES";27
"421010 MAFRA";10
"421110 MONTE CASTELO";2
"421120 MORRO DA FUMACA";2
"421165 NOVO HORIZONTE";1
"421210 PALMITOS";12
"421320 POMERODE";2
"421360 PORTO UNIAO";9
"421500 RIO NEGRINHO";2
"421540 SALTO VELOSO";2
"421550 SANTA CECILIA";4
"421580 SAO BENTO DO SUL";23
"421620 SAO FRANCISCO DO SUL";1
"421630 SAO JOAO BATISTA";2
"421770 SOMBRIO";12
"421775 SUL BRASIL";9
"421840 TREZE DE MAIO";5
"421930 VIDEIRA";11
"421950 XANXERE";6
"Total";469
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
