Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";8
"420040 AGUA DOCE";6
"420120 ANTONIO CARLOS";1
"420200 BALNEARIO CAMBORIU";21
"420240 BLUMENAU";38
"420300 CACADOR";3
"420320 CAMBORIU";10
"420360 CAMPOS NOVOS";103
"420380 CANOINHAS";5
"420395 CAPIVARI DE BAIXO";5
"420425 COCAL DO SUL";1
"420435 CORDILHEIRA ALTA";1
"420455 CORREIA PINTO";1
"420460 CRICIUMA";60
"420530 FAXINAL DOS GUEDES";2
"420540 FLORIANOPOLIS";37
"420545 FORQUILHINHA";5
"420590 GASPAR";8
"420600 GOVERNADOR CELSO RAMOS";1
"420730 IMBITUBA";20
"420750 INDAIAL";5
"420760 IPIRA";1
"420800 ITA";1
"420830 ITAPEMA";12
"420890 JARAGUA DO SUL";19
"420900 JOACABA";27
"420930 LAGES";29
"420945 LAJEADO GRANDE";4
"421010 MAFRA";16
"421110 MONTE CASTELO";1
"421130 NAVEGANTES";2
"421210 PALMITOS";15
"421320 POMERODE";1
"421500 RIO NEGRINHO";4
"421550 SANTA CECILIA";3
"421580 SAO BENTO DO SUL";17
"421620 SAO FRANCISCO DO SUL";1
"421630 SAO JOAO BATISTA";2
"421690 SAO LOURENCO DO OESTE";3
"421770 SOMBRIO";11
"421775 SUL BRASIL";4
"421840 TREZE DE MAIO";2
"421917 VARGEM BONITA";1
"421930 VIDEIRA";11
"421950 XANXERE";6
"Total";534
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
