Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Santa Catarina
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"420010 ABELARDO LUZ";10
"420040 AGUA DOCE";1
"420200 BALNEARIO CAMBORIU";14
"420230 BIGUACU";1
"420240 BLUMENAU";34
"420290 BRUSQUE";4
"420320 CAMBORIU";5
"420360 CAMPOS NOVOS";44
"420380 CANOINHAS";7
"420395 CAPIVARI DE BAIXO";5
"420425 COCAL DO SUL";1
"420450 CORUPA";1
"420460 CRICIUMA";57
"420540 FLORIANOPOLIS";42
"420545 FORQUILHINHA";2
"420590 GASPAR";6
"420600 GOVERNADOR CELSO RAMOS";29
"420730 IMBITUBA";18
"420750 INDAIAL";6
"420760 IPIRA";1
"420830 ITAPEMA";18
"420890 JARAGUA DO SUL";10
"420900 JOACABA";25
"420930 LAGES";65
"420945 LAJEADO GRANDE";1
"421005 MACIEIRA";2
"421010 MAFRA";5
"421120 MORRO DA FUMACA";1
"421130 NAVEGANTES";6
"421210 PALMITOS";10
"421360 PORTO UNIAO";5
"421500 RIO NEGRINHO";5
"421540 SALTO VELOSO";1
"421580 SAO BENTO DO SUL";10
"421770 SOMBRIO";15
"421840 TREZE DE MAIO";6
"421930 VIDEIRA";16
"421950 XANXERE";10
"421985 ZORTEA";3
"Total";502
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
