Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";2
"350020 ADOLFO";1
"350070 AGUDOS";2
"350115 ALUMINIO";1
"350160 AMERICANA";3
"350200 ANALANDIA";2
"350210 ANDRADINA";4
"350220 ANGATUBA";3
"350270 APIAI";4
"350275 ARACARIGUAMA";1
"350320 ARARAQUARA";31
"350330 ARARAS";1
"350350 AREIAS";13
"350390 ARUJA";11
"350410 ATIBAIA";19
"350420 AURIFLAMA";3
"350490 BANANAL";15
"350510 BARBOSA";9
"350530 BARRA BONITA";5
"350570 BARUERI";1
"350580 BASTOS";5
"350600 BAURU";23
"350610 BEBEDOURO";3
"350635 BERTIOGA";8
"350640 BILAC";2
"350650 BIRIGUI";43
"350670 BOA ESPERANCA DO SUL";1
"350690 BOFETE";1
"350740 BORBOREMA";2
"350760 BRAGANCA PAULISTA";25
"350780 BRODOWSKI";1
"350810 BURITAMA";1
"350850 CACAPAVA";20
"350870 CACONDE";4
"350900 CAIEIRAS";2
"350925 CAJATI";8
"350950 CAMPINAS";117
"350970 CAMPOS DO JORDAO";7
"350990 CANANEIA";5
"351015 CANITAR";2
"351030 CAPELA DO ALTO";2
"351040 CAPIVARI";2
"351050 CARAGUATATUBA";2
"351060 CARAPICUIBA";7
"351070 CARDOSO";1
"351120 CATIGUA";1
"351140 CERQUEIRA CESAR";11
"351220 CONCHAL";2
"351290 COSMORAMA";2
"351340 CRUZEIRO";1
"351350 CUBATAO";15
"351390 DIVINOLANDIA";4
"351440 DRACENA";1
"351450 DUARTINA";7
"351470 ECHAPORA";1
"351480 ELDORADO";2
"351500 EMBU DAS ARTES";1
"351518 ESPIRITO SANTO DO PINHAL";21
"351550 FERNANDOPOLIS";29
"351565 FERNAO";1
"351570 FERRAZ DE VASCONCELOS";3
"351600 FLORIDA PAULISTA";2
"351610 FLORINIA";2
"351660 GALIA";3
"351720 GUAICARA";2
"351870 GUARUJA";22
"351880 GUARULHOS";77
"351900 HERCULANDIA";4
"351930 IBATE";1
"351940 IBIRA";2
"352000 IGARACU DO TIETE";1
"352040 ILHABELA";3
"352044 ILHA SOLTEIRA";12
"352080 INUBIA PAULISTA";4
"352090 IPAUSSU";13
"352115 IPIGUA";1
"352130 IPUA";15
"352140 IRACEMAPOLIS";7
"352190 ITAJOBI";2
"352200 ITAJU";1
"352220 ITAPECERICA DA SERRA";20
"352250 ITAPEVI";12
"352260 ITAPIRA";13
"352300 ITAPURA";2
"352310 ITAQUAQUECETUBA";42
"352340 ITATIBA";10
"352360 ITIRAPINA";5
"352370 ITIRAPUA";2
"352410 ITUVERAVA";207
"352440 JACAREI";24
"352460 JACUPIRANGA";2
"352480 JALES";8
"352500 JANDIRA";12
"352530 JAU";14
"352570 JOSE BONIFACIO";2
"352580 JULIO MESQUITA";2
"352610 JUQUIA";4
"352620 JUQUITIBA";4
"352670 LEME";2
"352690 LIMEIRA";3
"352700 LINDOIA";4
"352710 LINS";10
"352720 LORENA";1
"352730 LOUVEIRA";2
"352740 LUCELIA";1
"352770 LUIZIANIA";6
"352790 LUTECIA";12
"352800 MACATUBA";1
"352840 MAIRINQUE";5
"352860 MANDURI";2
"352880 MARACAI";2
"352900 MARILIA";31
"352930 MATAO";6
"352960 MERIDIANO";1
"352980 MINEIROS DO TIETE";7
"352990 MIRACATU";1
"353050 MOCOCA";11
"353060 MOGI DAS CRUZES";16
"353070 MOGI GUACU";15
"353080 MOGI MIRIM";6
"353130 MONTE ALTO";9
"353190 MORRO AGUDO";1
"353260 NHANDEARA";1
"353280 NOVA ALIANCA";1
"353290 NOVA EUROPA";2
"353350 NOVO HORIZONTE";6
"353390 OLIMPIA";1
"353470 OURINHOS";22
"353500 PALESTINA";1
"353520 PALMEIRA D'OESTE";1
"353530 PALMITAL";10
"353540 PANORAMA";2
"353550 PARAGUACU PAULISTA";16
"353580 PARANAPANEMA";4
"353610 PARDINHO";3
"353620 PARIQUERA-ACU";1
"353730 PENAPOLIS";5
"353790 PILAR DO SUL";6
"353800 PINDAMONHANGABA";10
"353810 PINDORAMA";2
"353920 PIRAPOZINHO";21
"353940 PIRATININGA";7
"353950 PITANGUEIRAS";14
"353980 POA";117
"354020 PONTAL";19
"354060 PORTO FELIZ";18
"354070 PORTO FERREIRA";9
"354075 POTIM";3
"354080 POTIRENDABA";8
"354130 PRESIDENTE EPITACIO";83
"354200 QUINTANA";1
"354250 REGINOPOLIS";1
"354260 REGISTRO";8
"354330 RIBEIRAO PIRES";11
"354340 RIBEIRAO PRETO";1
"354390 RIO CLARO";27
"354430 ROSEIRA";2
"354515 SALTINHO";1
"354520 SALTO";33
"354530 SALTO DE PIRAPORA";9
"354560 SANTA ADELIA";1
"354630 SANTA CRUZ DAS PALMEIRAS";17
"354640 SANTA CRUZ DO RIO PARDO";6
"354670 SANTA GERTRUDES";5
"354680 SANTA ISABEL";8
"354720 SANTANA DA PONTE PENSA";1
"354730 SANTANA DE PARNAIBA";27
"354740 SANTA RITA D'OESTE";2
"354750 SANTA RITA DO PASSA QUATRO";3
"354780 SANTO ANDRE";46
"354810 SANTO ANTONIO DO JARDIM";5
"354850 SANTOS";76
"354860 SAO BENTO DO SAPUCAI";1
"354890 SAO CARLOS";37
"354960 SAO JOSE DO BARREIRO";1
"354970 SAO JOSE DO RIO PARDO";7
"354980 SAO JOSE DO RIO PRETO";96
"354990 SAO JOSE DOS CAMPOS";116
"354995 SAO LOURENCO DA SERRA";9
"355010 SAO MANUEL";1
"355040 SAO PEDRO";2
"355060 SAO ROQUE";4
"355070 SAO SEBASTIAO";23
"355080 SAO SEBASTIAO DA GRAMA";6
"355100 SAO VICENTE";51
"355170 SERTAOZINHO";3
"355180 SETE BARRAS";1
"355230 SUD MENNUCCI";2
"355250 SUZANO";34
"355270 TABATINGA";6
"355340 TANABI";1
"355400 TATUI";26
"355410 TAUBATE";1
"355470 TORRINHA";2
"355480 TREMEMBE";14
"355500 TUPA";13
"355520 TURIUBA";1
"355600 URUPES";2
"355640 VARGEM GRANDE DO SUL";2
"355645 VARGEM GRANDE PAULISTA";3
"355700 VOTORANTIM";13
"355710 VOTUPORANGA";8
"355720 CHAVANTES";8
"355730 ESTIVA GERBI";1
"Total";2420
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
