Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"350040 AGUAS DA PRATA";51
"350070 AGUDOS";5
"350115 ALUMINIO";4
"350150 ALVINLANDIA";2
"350210 ANDRADINA";2
"350220 ANGATUBA";8
"350270 APIAI";3
"350275 ARACARIGUAMA";2
"350310 ARANDU";2
"350320 ARARAQUARA";1
"350330 ARARAS";13
"350350 AREIAS";1
"350390 ARUJA";5
"350410 ATIBAIA";5
"350420 AURIFLAMA";12
"350530 BARRA BONITA";4
"350550 BARRETOS";4
"350560 BARRINHA";1
"350570 BARUERI";123
"350590 BATATAIS";17
"350600 BAURU";22
"350610 BEBEDOURO";19
"350620 BENTO DE ABREU";1
"350635 BERTIOGA";6
"350650 BIRIGUI";30
"350690 BOFETE";1
"350700 BOITUVA";1
"350760 BRAGANCA PAULISTA";37
"350770 BRAUNA";1
"350780 BRODOWSKI";2
"350810 BURITAMA";16
"350840 CABREUVA";12
"350850 CACAPAVA";21
"350860 CACHOEIRA PAULISTA";4
"350900 CAIEIRAS";92
"350925 CAJATI";5
"351030 CAPELA DO ALTO";4
"351040 CAPIVARI";1
"351070 CARDOSO";1
"351120 CATIGUA";2
"351140 CERQUEIRA CESAR";23
"351220 CONCHAL";1
"351250 COROADOS";1
"351290 COSMORAMA";12
"351340 CRUZEIRO";3
"351350 CUBATAO";9
"351390 DIVINOLANDIA";3
"351400 DOBRADA";2
"351450 DUARTINA";4
"351470 ECHAPORA";1
"351518 ESPIRITO SANTO DO PINHAL";4
"351550 FERNANDOPOLIS";8
"351565 FERNAO";1
"351570 FERRAZ DE VASCONCELOS";10
"351640 FRANCO DA ROCHA";1
"351650 GABRIEL MONTEIRO";1
"351660 GALIA";1
"351820 GUARARAPES";2
"351870 GUARUJA";152
"351880 GUARULHOS";153
"351920 IACRI";1
"351930 IBATE";5
"351940 IBIRA";7
"351960 IBITINGA";13
"352000 IGARACU DO TIETE";3
"352040 ILHABELA";1
"352042 ILHA COMPRIDA";2
"352070 INDIAPORA";1
"352090 IPAUSSU";2
"352115 IPIGUA";2
"352130 IPUA";1
"352190 ITAJOBI";2
"352220 ITAPECERICA DA SERRA";12
"352250 ITAPEVI";19
"352260 ITAPIRA";14
"352310 ITAQUAQUECETUBA";63
"352340 ITATIBA";26
"352360 ITIRAPINA";2
"352370 ITIRAPUA";1
"352380 ITOBI";1
"352410 ITUVERAVA";1
"352440 JACAREI";72
"352450 JACI";1
"352460 JACUPIRANGA";4
"352480 JALES";25
"352500 JANDIRA";13
"352530 JAU";23
"352570 JOSE BONIFACIO";5
"352610 JUQUIA";1
"352620 JUQUITIBA";5
"352650 LAVINIA";1
"352670 LEME";15
"352720 LORENA";2
"352730 LOUVEIRA";8
"352770 LUIZIANIA";1
"352800 MACATUBA";4
"352840 MAIRINQUE";11
"352860 MANDURI";8
"352890 MARIAPOLIS";5
"352900 MARILIA";2
"352920 MARTINOPOLIS";2
"352930 MATAO";5
"352950 MENDONCA";1
"352960 MERIDIANO";1
"352980 MINEIROS DO TIETE";1
"352990 MIRACATU";3
