Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";1
"350020 ADOLFO";1
"350040 AGUAS DA PRATA";60
"350070 AGUDOS";2
"350115 ALUMINIO";1
"350210 ANDRADINA";6
"350220 ANGATUBA";4
"350270 APIAI";6
"350300 ARAMINA";1
"350320 ARARAQUARA";1
"350330 ARARAS";17
"350350 AREIAS";1
"350390 ARUJA";7
"350420 AURIFLAMA";3
"350510 BARBOSA";1
"350530 BARRA BONITA";4
"350550 BARRETOS";14
"350570 BARUERI";66
"350590 BATATAIS";16
"350600 BAURU";22
"350610 BEBEDOURO";13
"350620 BENTO DE ABREU";2
"350635 BERTIOGA";7
"350650 BIRIGUI";34
"350670 BOA ESPERANCA DO SUL";1
"350740 BORBOREMA";1
"350760 BRAGANCA PAULISTA";33
"350780 BRODOWSKI";1
"350810 BURITAMA";66
"350840 CABREUVA";18
"350850 CACAPAVA";24
"350870 CACONDE";2
"350900 CAIEIRAS";72
"350925 CAJATI";10
"350970 CAMPOS DO JORDAO";4
"351030 CAPELA DO ALTO";4
"351040 CAPIVARI";1
"351070 CARDOSO";1
"351120 CATIGUA";1
"351140 CERQUEIRA CESAR";8
"351220 CONCHAL";4
"351230 CONCHAS";6
"351250 COROADOS";1
"351270 CORUMBATAI";1
"351290 COSMORAMA";21
"351340 CRUZEIRO";2
"351350 CUBATAO";5
"351390 DIVINOLANDIA";3
"351400 DOBRADA";3
"351518 ESPIRITO SANTO DO PINHAL";19
"351520 ESTRELA D'OESTE";3
"351550 FERNANDOPOLIS";7
"351570 FERRAZ DE VASCONCELOS";23
"351640 FRANCO DA ROCHA";1
"351650 GABRIEL MONTEIRO";1
"351660 GALIA";2
"351750 GUAPIACU";1
"351820 GUARARAPES";2
"351840 GUARATINGUETA";2
"351870 GUARUJA";262
"351880 GUARULHOS";135
"351900 HERCULANDIA";1
"351930 IBATE";8
"351940 IBIRA";1
"351960 IBITINGA";42
"352000 IGARACU DO TIETE";2
"352040 ILHABELA";3
"352042 ILHA COMPRIDA";1
"352070 INDIAPORA";2
"352115 IPIGUA";1
"352130 IPUA";10
"352190 ITAJOBI";2
"352215 ITAOCA";1
"352220 ITAPECERICA DA SERRA";3
"352250 ITAPEVI";16
"352260 ITAPIRA";9
"352310 ITAQUAQUECETUBA";68
"352340 ITATIBA";9
"352360 ITIRAPINA";10
"352370 ITIRAPUA";1
"352380 ITOBI";3
"352410 ITUVERAVA";5
"352440 JACAREI";56
"352460 JACUPIRANGA";3
"352500 JANDIRA";6
"352530 JAU";18
"352570 JOSE BONIFACIO";5
"352610 JUQUIA";1
"352620 JUQUITIBA";6
"352650 LAVINIA";1
"352670 LEME";12
"352720 LORENA";10
"352740 LUCELIA";1
"352800 MACATUBA";6
"352840 MAIRINQUE";12
"352860 MANDURI";1
"352890 MARIAPOLIS";2
"352920 MARTINOPOLIS";1
"352930 MATAO";14
"353050 MOCOCA";3
"353060 MOGI DAS CRUZES";91
"353080 MOGI MIRIM";14
"353130 MONTE ALTO";21
"353140 MONTE APRAZIVEL";2
"353190 MORRO AGUDO";1
"353240 NAZARE PAULISTA";3
"353350 NOVO HORIZONTE";3
"353460 OSVALDO CRUZ";4
"353490 PACAEMBU";3
"353520 PALMEIRA D'OESTE";4
"353530 PALMITAL";1
"353540 PANORAMA";3
"353550 PARAGUACU PAULISTA";5
"353570 PARAISO";5
"353580 PARANAPANEMA";2
"353600 PARAPUA";1
"353620 PARIQUERA-ACU";13
"353690 PEDRANOPOLIS";1
"353700 PEDREGULHO";2
"353730 PENAPOLIS";14
"353770 PIACATU";2
"353790 PILAR DO SUL";17
"353800 PINDAMONHANGABA";150
"353810 PINDORAMA";2
"353910 PIRAPORA DO BOM JESUS";7
"353920 PIRAPOZINHO";3
"353940 PIRATININGA";3
"353950 PITANGUEIRAS";6
"354010 PONGAI";1
"354020 PONTAL";15
"354060 PORTO FELIZ";5
"354070 PORTO FERREIRA";21
"354075 POTIM";2
"354080 POTIRENDABA";20
"354180 QUEIROZ";10
"354260 REGISTRO";12
"354330 RIBEIRAO PIRES";14
"354340 RIBEIRAO PRETO";37
"354380 RINOPOLIS";4
"354390 RIO CLARO";4
"354400 RIO DAS PEDRAS";1
"354410 RIO GRANDE DA SERRA";2
"354515 SALTINHO";1
"354520 SALTO";19
"354530 SALTO DE PIRAPORA";5
"354540 SALTO GRANDE";2
"354610 SANTA CLARA D'OESTE";1
"354640 SANTA CRUZ DO RIO PARDO";14
"354660 SANTA FE DO SUL";4
"354670 SANTA GERTRUDES";4
"354680 SANTA ISABEL";9
"354690 SANTA LUCIA";1
"354700 SANTA MARIA DA SERRA";1
"354720 SANTANA DA PONTE PENSA";1
"354730 SANTANA DE PARNAIBA";22
"354750 SANTA RITA DO PASSA QUATRO";4
"354780 SANTO ANDRE";266
"354805 SANTO ANTONIO DO ARACANGUA";1
"354810 SANTO ANTONIO DO JARDIM";2
"354850 SANTOS";129
"354860 SAO BENTO DO SAPUCAI";4
"354880 SAO CAETANO DO SUL";3
"354890 SAO CARLOS";30
"354925 SAO JOAO DE IRACEMA";1
"354960 SAO JOSE DO BARREIRO";1
"354970 SAO JOSE DO RIO PARDO";1
"354980 SAO JOSE DO RIO PRETO";80
"354990 SAO JOSE DOS CAMPOS";26
"354995 SAO LOURENCO DA SERRA";4
"355010 SAO MANUEL";11
"355040 SAO PEDRO";4
"355060 SAO ROQUE";16
"355100 SAO VICENTE";27
"355170 SERTAOZINHO";32
"355190 SEVERINIA";8
"355250 SUZANO";30
"355255 SUZANAPOLIS";3
"355340 TANABI";2
"355380 TAQUARITUBA";2
"355400 TATUI";52
