Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";1
"350040 AGUAS DA PRATA";5
"350115 ALUMINIO";5
"350200 ANALANDIA";1
"350210 ANDRADINA";3
"350220 ANGATUBA";5
"350270 APIAI";1
"350275 ARACARIGUAMA";4
"350310 ARANDU";1
"350330 ARARAS";6
"350350 AREIAS";2
"350390 ARUJA";11
"350410 ATIBAIA";8
"350530 BARRA BONITA";7
"350550 BARRETOS";3
"350570 BARUERI";48
"350590 BATATAIS";12
"350600 BAURU";14
"350610 BEBEDOURO";4
"350620 BENTO DE ABREU";2
"350635 BERTIOGA";2
"350650 BIRIGUI";41
"350700 BOITUVA";1
"350740 BORBOREMA";2
"350760 BRAGANCA PAULISTA";32
"350770 BRAUNA";4
"350810 BURITAMA";82
"350840 CABREUVA";11
"350850 CACAPAVA";31
"350870 CACONDE";4
"350900 CAIEIRAS";56
"350925 CAJATI";1
"350970 CAMPOS DO JORDAO";8
"351040 CAPIVARI";1
"351120 CATIGUA";1
"351140 CERQUEIRA CESAR";2
"351220 CONCHAL";5
"351230 CONCHAS";35
"351250 COROADOS";1
"351290 COSMORAMA";8
"351340 CRUZEIRO";1
"351350 CUBATAO";10
"351400 DOBRADA";2
"351450 DUARTINA";1
"351518 ESPIRITO SANTO DO PINHAL";15
"351550 FERNANDOPOLIS";11
"351570 FERRAZ DE VASCONCELOS";9
"351640 FRANCO DA ROCHA";1
"351720 GUAICARA";1
"351780 GUARACAI";3
"351820 GUARARAPES";5
"351850 GUAREI";9
"351870 GUARUJA";163
"351880 GUARULHOS";78
"351930 IBATE";1
"351940 IBIRA";4
"351960 IBITINGA";11
"352000 IGARACU DO TIETE";5
"352040 ILHABELA";2
"352115 IPIGUA";2
"352130 IPUA";3
"352190 ITAJOBI";1
"352215 ITAOCA";2
"352220 ITAPECERICA DA SERRA";1
"352250 ITAPEVI";7
"352260 ITAPIRA";5
"352310 ITAQUAQUECETUBA";39
"352340 ITATIBA";2
"352360 ITIRAPINA";3
"352370 ITIRAPUA";1
"352410 ITUVERAVA";3
"352440 JACAREI";47
"352480 JALES";1
"352500 JANDIRA";4
"352530 JAU";10
"352570 JOSE BONIFACIO";3
"352620 JUQUITIBA";1
"352650 LAVINIA";1
"352670 LEME";11
"352690 LIMEIRA";12
"352720 LORENA";8
"352730 LOUVEIRA";4
"352740 LUCELIA";2
"352800 MACATUBA";1
"352840 MAIRINQUE";4
"352860 MANDURI";1
"352890 MARIAPOLIS";1
"352920 MARTINOPOLIS";4
"352930 MATAO";11
"353050 MOCOCA";2
"353060 MOGI DAS CRUZES";41
"353080 MOGI MIRIM";8
"353100 MONCOES";1
"353130 MONTE ALTO";8
"353140 MONTE APRAZIVEL";2
"353190 MORRO AGUDO";1
"353250 NEVES PAULISTA";2
"353290 NOVA EUROPA";1
"353350 NOVO HORIZONTE";4
"353390 OLIMPIA";1
"353460 OSVALDO CRUZ";2
"353490 PACAEMBU";19
"353540 PANORAMA";8
"353550 PARAGUACU PAULISTA";3
"353570 PARAISO";2
"353580 PARANAPANEMA";1
"353600 PARAPUA";2
"353620 PARIQUERA-ACU";4
"353730 PENAPOLIS";12
"353790 PILAR DO SUL";13
"353800 PINDAMONHANGABA";103
"353810 PINDORAMA";1
"353910 PIRAPORA DO BOM JESUS";4
"353920 PIRAPOZINHO";5
"353940 PIRATININGA";4
"353950 PITANGUEIRAS";4
"354020 PONTAL";13
"354060 PORTO FELIZ";20
"354070 PORTO FERREIRA";10
"354075 POTIM";2
"354080 POTIRENDABA";13
"354180 QUEIROZ";21
"354200 QUINTANA";1
"354260 REGISTRO";9
"354330 RIBEIRAO PIRES";9
"354340 RIBEIRAO PRETO";11
"354380 RINOPOLIS";2
"354390 RIO CLARO";15
"354515 SALTINHO";1
"354520 SALTO";21
"354530 SALTO DE PIRAPORA";1
"354560 SANTA ADELIA";2
"354640 SANTA CRUZ DO RIO PARDO";24
"354650 SANTA ERNESTINA";1
"354680 SANTA ISABEL";9
"354690 SANTA LUCIA";3
"354730 SANTANA DE PARNAIBA";18
"354750 SANTA RITA DO PASSA QUATRO";2
"354780 SANTO ANDRE";106
"354805 SANTO ANTONIO DO ARACANGUA";5
"354810 SANTO ANTONIO DO JARDIM";1
"354850 SANTOS";135
"354860 SAO BENTO DO SAPUCAI";2
"354890 SAO CARLOS";28
"354920 SAO JOAO DAS DUAS PONTES";1
"354970 SAO JOSE DO RIO PARDO";1
"354980 SAO JOSE DO RIO PRETO";81
"354990 SAO JOSE DOS CAMPOS";24
"354995 SAO LOURENCO DA SERRA";1
"355010 SAO MANUEL";7
"355040 SAO PEDRO";6
"355060 SAO ROQUE";18
"355070 SAO SEBASTIAO";1
"355080 SAO SEBASTIAO DA GRAMA";1
"355100 SAO VICENTE";29
"355170 SERTAOZINHO";28
"355230 SUD MENNUCCI";1
"355250 SUZANO";26
"355255 SUZANAPOLIS";12
"355340 TANABI";3
"355400 TATUI";33
"355410 TAUBATE";2
"355500 TUPA";29
"355510 TUPI PAULISTA";3
"355640 VARGEM GRANDE DO SUL";7
"355645 VARGEM GRANDE PAULISTA";7
"355710 VOTUPORANGA";5
"355720 CHAVANTES";4
"Total";2071
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
