Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";4
"350115 ALUMINIO";4
"350160 AMERICANA";5
"350210 ANDRADINA";13
"350220 ANGATUBA";4
"350270 APIAI";6
"350275 ARACARIGUAMA";5
"350300 ARAMINA";1
"350310 ARANDU";1
"350320 ARARAQUARA";12
"350360 AREIOPOLIS";1
"350390 ARUJA";20
"350410 ATIBAIA";12
"350420 AURIFLAMA";4
"350490 BANANAL";9
"350510 BARBOSA";5
"350530 BARRA BONITA";4
"350550 BARRETOS";2
"350560 BARRINHA";1
"350570 BARUERI";3
"350580 BASTOS";3
"350600 BAURU";15
"350610 BEBEDOURO";6
"350630 BERNARDINO DE CAMPOS";1
"350635 BERTIOGA";2
"350640 BILAC";1
"350650 BIRIGUI";66
"350670 BOA ESPERANCA DO SUL";1
"350700 BOITUVA";2
"350740 BORBOREMA";1
"350760 BRAGANCA PAULISTA";35
"350770 BRAUNA";1
"350780 BRODOWSKI";2
"350810 BURITAMA";1
"350820 BURITIZAL";2
"350850 CACAPAVA";13
"350860 CACHOEIRA PAULISTA";1
"350870 CACONDE";1
"350900 CAIEIRAS";4
"350925 CAJATI";3
"350950 CAMPINAS";31
"350970 CAMPOS DO JORDAO";4
"350990 CANANEIA";19
"351000 CANDIDO MOTA";3
"351030 CAPELA DO ALTO";2
"351040 CAPIVARI";1
"351060 CARAPICUIBA";43
"351070 CARDOSO";2
"351130 CEDRAL";1
"351140 CERQUEIRA CESAR";8
"351220 CONCHAL";3
"351250 COROADOS";1
"351290 COSMORAMA";5
"351350 CUBATAO";7
"351370 DESCALVADO";1
"351390 DIVINOLANDIA";3
"351400 DOBRADA";2
"351440 DRACENA";2
"351470 ECHAPORA";9
"351480 ELDORADO";6
"351518 ESPIRITO SANTO DO PINHAL";10
"351550 FERNANDOPOLIS";7
"351570 FERRAZ DE VASCONCELOS";2
"351660 GALIA";1
"351720 GUAICARA";1
"351820 GUARARAPES";1
"351840 GUARATINGUETA";1
"351850 GUAREI";8
"351870 GUARUJA";21
"351880 GUARULHOS";115
"351900 HERCULANDIA";4
"351930 IBATE";1
"351940 IBIRA";1
"351960 IBITINGA";1
"352000 IGARACU DO TIETE";2
"352010 IGARAPAVA";1
"352020 IGARATA";1
"352040 ILHABELA";2
"352044 ILHA SOLTEIRA";15
"352080 INUBIA PAULISTA";2
"352090 IPAUSSU";2
"352115 IPIGUA";2
"352130 IPUA";10
"352140 IRACEMAPOLIS";4
"352220 ITAPECERICA DA SERRA";19
"352250 ITAPEVI";21
"352260 ITAPIRA";9
"352310 ITAQUAQUECETUBA";32
"352340 ITATIBA";10
"352360 ITIRAPINA";2
"352370 ITIRAPUA";1
"352380 ITOBI";1
"352410 ITUVERAVA";30
"352440 JACAREI";24
"352460 JACUPIRANGA";9
"352480 JALES";14
"352500 JANDIRA";10
"352530 JAU";19
"352570 JOSE BONIFACIO";4
"352580 JULIO MESQUITA";2
"352610 JUQUIA";1
"352620 JUQUITIBA";3
"352670 LEME";2
"352690 LIMEIRA";5
"352700 LINDOIA";5
"352710 LINS";16
"352730 LOUVEIRA";2
"352770 LUIZIANIA";4
"352800 MACATUBA";1
"352840 MAIRINQUE";13
"352860 MANDURI";1
"352880 MARACAI";23
"352890 MARIAPOLIS";1
"352900 MARILIA";22
"352930 MATAO";11
"352960 MERIDIANO";3
"352980 MINEIROS DO TIETE";8
"353000 MIRA ESTRELA";1
"353050 MOCOCA";5
"353060 MOGI DAS CRUZES";31
"353070 MOGI GUACU";8
"353080 MOGI MIRIM";7
"353130 MONTE ALTO";6
"353140 MONTE APRAZIVEL";1
"353190 MORRO AGUDO";2
"353260 NHANDEARA";1
"353280 NOVA ALIANCA";2
"353290 NOVA EUROPA";39
"353300 NOVA GRANADA";1
"353350 NOVO HORIZONTE";5
"353390 OLIMPIA";1
"353430 ORLANDIA";2
"353460 OSVALDO CRUZ";1
"353470 OURINHOS";20
"353490 PACAEMBU";1
"353500 PALESTINA";3
"353510 PALMARES PAULISTA";1
