Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";3
"350115 ALUMINIO";19
"350210 ANDRADINA";10
"350220 ANGATUBA";5
"350270 APIAI";4
"350275 ARACARIGUAMA";6
"350300 ARAMINA";2
"350310 ARANDU";3
"350320 ARARAQUARA";12
"350330 ARARAS";1
"350350 AREIAS";3
"350390 ARUJA";6
"350410 ATIBAIA";12
"350420 AURIFLAMA";2
"350460 BADY BASSITT";9
"350490 BANANAL";2
"350510 BARBOSA";6
"350530 BARRA BONITA";4
"350535 BARRA DO CHAPEU";3
"350550 BARRETOS";6
"350570 BARUERI";13
"350580 BASTOS";2
"350600 BAURU";26
"350610 BEBEDOURO";21
"350630 BERNARDINO DE CAMPOS";1
"350635 BERTIOGA";1
"350650 BIRIGUI";46
"350670 BOA ESPERANCA DO SUL";2
"350690 BOFETE";4
"350700 BOITUVA";3
"350740 BORBOREMA";2
"350760 BRAGANCA PAULISTA";68
"350780 BRODOWSKI";5
"350810 BURITAMA";2
"350820 BURITIZAL";3
"350850 CACAPAVA";6
"350870 CACONDE";2
"350900 CAIEIRAS";1
"350925 CAJATI";3
"350950 CAMPINAS";30
"350970 CAMPOS DO JORDAO";6
"350980 CAMPOS NOVOS PAULISTA";1
"350990 CANANEIA";4
"351000 CANDIDO MOTA";1
"351030 CAPELA DO ALTO";6
"351040 CAPIVARI";3
"351060 CARAPICUIBA";102
"351070 CARDOSO";1
"351120 CATIGUA";3
"351130 CEDRAL";1
"351140 CERQUEIRA CESAR";4
"351220 CONCHAL";2
"351250 COROADOS";1
"351340 CRUZEIRO";2
"351350 CUBATAO";10
"351390 DIVINOLANDIA";7
"351400 DOBRADA";2
"351430 DOURADO";55
"351440 DRACENA";1
"351450 DUARTINA";19
"351470 ECHAPORA";1
"351480 ELDORADO";6
"351518 ESPIRITO SANTO DO PINHAL";13
"351550 FERNANDOPOLIS";4
"351570 FERRAZ DE VASCONCELOS";22
"351600 FLORIDA PAULISTA";1
"351610 FLORINIA";4
"351640 FRANCO DA ROCHA";1
"351650 GABRIEL MONTEIRO";1
"351660 GALIA";2
"351820 GUARARAPES";4
"351850 GUAREI";2
"351870 GUARUJA";17
"351880 GUARULHOS";163
"351900 HERCULANDIA";6
"351930 IBATE";2
"352000 IGARACU DO TIETE";7
"352010 IGARAPAVA";4
"352040 ILHABELA";3
"352044 ILHA SOLTEIRA";1
"352070 INDIAPORA";3
"352090 IPAUSSU";4
"352130 IPUA";9
"352140 IRACEMAPOLIS";6
"352190 ITAJOBI";3
"352215 ITAOCA";1
"352220 ITAPECERICA DA SERRA";21
"352250 ITAPEVI";48
"352260 ITAPIRA";4
"352310 ITAQUAQUECETUBA";31
"352340 ITATIBA";18
"352360 ITIRAPINA";2
"352370 ITIRAPUA";2
"352380 ITOBI";4
"352410 ITUVERAVA";15
"352440 JACAREI";54
"352460 JACUPIRANGA";13
"352480 JALES";1
"352500 JANDIRA";15
"352530 JAU";28
"352570 JOSE BONIFACIO";5
"352610 JUQUIA";2
"352620 JUQUITIBA";6
"352650 LAVINIA";1
"352670 LEME";2
"352690 LIMEIRA";7
"352710 LINS";13
"352720 LORENA";3
"352730 LOUVEIRA";16
"352740 LUCELIA";3
"352770 LUIZIANIA";1
"352790 LUTECIA";9
"352800 MACATUBA";1
"352840 MAIRINQUE";14
"352860 MANDURI";2
"352880 MARACAI";3
"352900 MARILIA";21
"352920 MARTINOPOLIS";1
"352930 MATAO";15
"352980 MINEIROS DO TIETE";6
"353050 MOCOCA";7
"353060 MOGI DAS CRUZES";29
"353070 MOGI GUACU";12
"353080 MOGI MIRIM";7
"353130 MONTE ALTO";1
"353190 MORRO AGUDO";1
"353250 NEVES PAULISTA";1
"353290 NOVA EUROPA";22
"353350 NOVO HORIZONTE";4
"353460 OSVALDO CRUZ";1
"353470 OURINHOS";29
"353490 PACAEMBU";1
"353500 PALESTINA";3
"353510 PALMARES PAULISTA";1
"353520 PALMEIRA D'OESTE";5
"353530 PALMITAL";3
"353540 PANORAMA";108
"353550 PARAGUACU PAULISTA";5
"353580 PARANAPANEMA";2
"353600 PARAPUA";2
"353610 PARDINHO";3
"353620 PARIQUERA-ACU";3
"353700 PEDREGULHO";2
"353730 PENAPOLIS";6
"353770 PIACATU";1
"353790 PILAR DO SUL";11
"353800 PINDAMONHANGABA";24
"353810 PINDORAMA";11
"353920 PIRAPOZINHO";5
"353940 PIRATININGA";2
"353950 PITANGUEIRAS";27
"353980 POA";49
"354020 PONTAL";17
"354060 PORTO FELIZ";2
"354070 PORTO FERREIRA";6
"354075 POTIM";2
"354080 POTIRENDABA";7
"354130 PRESIDENTE EPITACIO";6
"354200 QUINTANA";2
"354250 REGINOPOLIS";5
"354260 REGISTRO";18
"354330 RIBEIRAO PIRES";26
"354340 RIBEIRAO PRETO";1
"354390 RIO CLARO";23
"354400 RIO DAS PEDRAS";2
"354410 RIO GRANDE DA SERRA";4
"354430 ROSEIRA";2
"354440 RUBIACEA";1
"354520 SALTO";93
"354530 SALTO DE PIRAPORA";2
"354540 SALTO GRANDE";1
"354560 SANTA ADELIA";1
"354620 SANTA CRUZ DA CONCEICAO";1
"354630 SANTA CRUZ DAS PALMEIRAS";31
"354640 SANTA CRUZ DO RIO PARDO";7
"354650 SANTA ERNESTINA";4
"354670 SANTA GERTRUDES";8
"354680 SANTA ISABEL";33
"354690 SANTA LUCIA";2
"354700 SANTA MARIA DA SERRA";1
"354730 SANTANA DE PARNAIBA";31
"354750 SANTA RITA DO PASSA QUATRO";11
"354780 SANTO ANDRE";51
"354810 SANTO ANTONIO DO JARDIM";4
"354850 SANTOS";121
"354860 SAO BENTO DO SAPUCAI";1
"354880 SAO CAETANO DO SUL";2
"354890 SAO CARLOS";13
"354920 SAO JOAO DAS DUAS PONTES";2
"354925 SAO JOAO DE IRACEMA";1
"354970 SAO JOSE DO RIO PARDO";4
"354980 SAO JOSE DO RIO PRETO";83
"354990 SAO JOSE DOS CAMPOS";66
"354995 SAO LOURENCO DA SERRA";9
"355010 SAO MANUEL";21
"355040 SAO PEDRO";4
"355060 SAO ROQUE";12
"355080 SAO SEBASTIAO DA GRAMA";8
"355100 SAO VICENTE";48
"355150 SERRANA";2
"355170 SERTAOZINHO";127
"355180 SETE BARRAS";3
"355190 SEVERINIA";10
"355200 SILVEIRAS";1
"355230 SUD MENNUCCI";2
"355250 SUZANO";53
"355270 TABATINGA";1
"355280 TABOAO DA SERRA";1
"355340 TANABI";9
"355400 TATUI";47
"355470 TORRINHA";4
"355480 TREMEMBE";14
"355500 TUPA";42
"355510 TUPI PAULISTA";2
"355535 UBARANA";1
"355570 UNIAO PAULISTA";2
"355600 URUPES";7
"355640 VARGEM GRANDE DO SUL";15
"355645 VARGEM GRANDE PAULISTA";6
"355700 VOTORANTIM";10
"355710 VOTUPORANGA";23
"355720 CHAVANTES";3
"355730 ESTIVA GERBI";1
"Total";2841
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
