Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";3
"350115 ALUMINIO";12
"350160 AMERICANA";1
"350210 ANDRADINA";7
"350220 ANGATUBA";10
"350270 APIAI";2
"350310 ARANDU";2
"350315 ARAPEI";1
"350320 ARARAQUARA";10
"350360 AREIOPOLIS";1
"350390 ARUJA";15
"350410 ATIBAIA";15
"350450 AVARE";1
"350460 BADY BASSITT";1
"350510 BARBOSA";1
"350530 BARRA BONITA";3
"350535 BARRA DO CHAPEU";2
"350550 BARRETOS";1
"350570 BARUERI";9
"350580 BASTOS";5
"350600 BAURU";19
"350610 BEBEDOURO";9
"350635 BERTIOGA";2
"350640 BILAC";1
"350650 BIRIGUI";39
"350690 BOFETE";1
"350700 BOITUVA";4
"350740 BORBOREMA";3
"350760 BRAGANCA PAULISTA";25
"350780 BRODOWSKI";9
"350810 BURITAMA";10
"350840 CABREUVA";4
"350850 CACAPAVA";9
"350870 CACONDE";3
"350900 CAIEIRAS";3
"350925 CAJATI";8
"350950 CAMPINAS";3
"350970 CAMPOS DO JORDAO";5
"350990 CANANEIA";4
"351000 CANDIDO MOTA";11
"351030 CAPELA DO ALTO";5
"351060 CARAPICUIBA";40
"351130 CEDRAL";1
"351340 CRUZEIRO";1
"351350 CUBATAO";10
"351390 DIVINOLANDIA";2
"351430 DOURADO";5
"351440 DRACENA";2
"351450 DUARTINA";14
"351470 ECHAPORA";1
"351495 EMBAUBA";6
"351518 ESPIRITO SANTO DO PINHAL";7
"351550 FERNANDOPOLIS";10
"351570 FERRAZ DE VASCONCELOS";22
"351640 FRANCO DA ROCHA";2
"351650 GABRIEL MONTEIRO";1
"351660 GALIA";2
"351720 GUAICARA";2
"351750 GUAPIACU";1
"351850 GUAREI";2
"351870 GUARUJA";10
"351880 GUARULHOS";202
"351900 HERCULANDIA";4
"351960 IBITINGA";3
"352000 IGARACU DO TIETE";8
"352010 IGARAPAVA";6
"352040 ILHABELA";1
"352090 IPAUSSU";3
"352115 IPIGUA";3
"352130 IPUA";11
"352140 IRACEMAPOLIS";3
"352190 ITAJOBI";1
"352215 ITAOCA";2
"352220 ITAPECERICA DA SERRA";9
"352250 ITAPEVI";20
"352260 ITAPIRA";11
"352310 ITAQUAQUECETUBA";27
"352340 ITATIBA";10
"352360 ITIRAPINA";5
"352370 ITIRAPUA";7
"352380 ITOBI";4
"352410 ITUVERAVA";15
"352440 JACAREI";58
"352460 JACUPIRANGA";8
"352480 JALES";15
"352500 JANDIRA";13
"352530 JAU";14
"352570 JOSE BONIFACIO";7
"352580 JULIO MESQUITA";3
"352610 JUQUIA";8
"352620 JUQUITIBA";4
"352670 LEME";28
"352690 LIMEIRA";6
"352710 LINS";21
"352720 LORENA";2
"352730 LOUVEIRA";8
"352740 LUCELIA";1
"352770 LUIZIANIA";3
"352800 MACATUBA";15
"352840 MAIRINQUE";14
"352860 MANDURI";2
"352880 MARACAI";3
"352900 MARILIA";22
