Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";1
"350115 ALUMINIO";4
"350120 ALVARES FLORENCE";1
"350210 ANDRADINA";14
"350220 ANGATUBA";14
"350270 APIAI";8
"350275 ARACARIGUAMA";1
"350300 ARAMINA";1
"350310 ARANDU";1
"350315 ARAPEI";12
"350320 ARARAQUARA";8
"350330 ARARAS";2
"350390 ARUJA";11
"350410 ATIBAIA";15
"350420 AURIFLAMA";1
"350460 BADY BASSITT";4
"350530 BARRA BONITA";3
"350535 BARRA DO CHAPEU";35
"350550 BARRETOS";5
"350560 BARRINHA";2
"350570 BARUERI";3
"350580 BASTOS";1
"350590 BATATAIS";7
"350600 BAURU";23
"350610 BEBEDOURO";11
"350630 BERNARDINO DE CAMPOS";4
"350635 BERTIOGA";8
"350650 BIRIGUI";27
"350690 BOFETE";1
"350700 BOITUVA";2
"350740 BORBOREMA";4
"350760 BRAGANCA PAULISTA";56
"350780 BRODOWSKI";4
"350810 BURITAMA";14
"350820 BURITIZAL";2
"350850 CACAPAVA";3
"350860 CACHOEIRA PAULISTA";1
"350900 CAIEIRAS";27
"350925 CAJATI";3
"350950 CAMPINAS";4
"350970 CAMPOS DO JORDAO";4
"350980 CAMPOS NOVOS PAULISTA";2
"351000 CANDIDO MOTA";4
"351030 CAPELA DO ALTO";4
"351040 CAPIVARI";5
"351060 CARAPICUIBA";47
"351070 CARDOSO";3
"351120 CATIGUA";3
"351130 CEDRAL";3
"351140 CERQUEIRA CESAR";5
"351270 CORUMBATAI";1
"351290 COSMORAMA";7
"351350 CUBATAO";17
"351390 DIVINOLANDIA";2
"351430 DOURADO";3
"351440 DRACENA";3
"351450 DUARTINA";3
"351470 ECHAPORA";2
"351480 ELDORADO";2
"351495 EMBAUBA";4
"351518 ESPIRITO SANTO DO PINHAL";5
"351550 FERNANDOPOLIS";9
"351570 FERRAZ DE VASCONCELOS";22
"351590 FLOREAL";2
"351680 GASTAO VIDIGAL";4
"351780 GUARACAI";2
"351820 GUARARAPES";11
"351850 GUAREI";2
"351870 GUARUJA";26
"351880 GUARULHOS";180
"351900 HERCULANDIA";3
"351930 IBATE";8
"351940 IBIRA";9
"351960 IBITINGA";42
"352000 IGARACU DO TIETE";6
"352010 IGARAPAVA";2
"352040 ILHABELA";1
"352090 IPAUSSU";4
"352115 IPIGUA";2
"352130 IPUA";8
"352140 IRACEMAPOLIS";1
"352220 ITAPECERICA DA SERRA";9
"352250 ITAPEVI";21
"352260 ITAPIRA";11
"352300 ITAPURA";1
"352310 ITAQUAQUECETUBA";18
"352340 ITATIBA";31
"352360 ITIRAPINA";3
"352370 ITIRAPUA";3
"352380 ITOBI";3
"352410 ITUVERAVA";5
"352440 JACAREI";56
"352450 JACI";4
"352460 JACUPIRANGA";3
"352480 JALES";10
"352500 JANDIRA";19
"352530 JAU";28
"352570 JOSE BONIFACIO";7
"352620 JUQUITIBA";5
"352670 LEME";16
"352690 LIMEIRA";4
"352710 LINS";13
"352720 LORENA";4
"352725 LOURDES";1
"352730 LOUVEIRA";1
"352740 LUCELIA";5
"352840 MAIRINQUE";16
"352860 MANDURI";2
"352900 MARILIA";19
"352930 MATAO";5
"352980 MINEIROS DO TIETE";7
"352990 MIRACATU";2
"353050 MOCOCA";8
"353060 MOGI DAS CRUZES";36
"353070 MOGI GUACU";5
"353080 MOGI MIRIM";5
"353100 MONCOES";1
"353130 MONTE ALTO";2
"353190 MORRO AGUDO";2
"353240 NAZARE PAULISTA";5
"353250 NEVES PAULISTA";13
"353280 NOVA ALIANCA";3
"353290 NOVA EUROPA";4
"353350 NOVO HORIZONTE";9
"353370 OCAUCU";1
"353390 OLIMPIA";1
"353430 ORLANDIA";1
"353470 OURINHOS";76
"353510 PALMARES PAULISTA";1
"353520 PALMEIRA D'OESTE";5
"353530 PALMITAL";1
"353540 PANORAMA";9
"353550 PARAGUACU PAULISTA";11
"353580 PARANAPANEMA";1
"353610 PARDINHO";1
"353700 PEDREGULHO";4
"353730 PENAPOLIS";3
"353770 PIACATU";1
"353790 PILAR DO SUL";16
"353800 PINDAMONHANGABA";28
"353920 PIRAPOZINHO";3
"353940 PIRATININGA";3
"353950 PITANGUEIRAS";7
"353980 POA";31
"354020 PONTAL";17
"354060 PORTO FELIZ";1
"354070 PORTO FERREIRA";12
"354075 POTIM";3
"354080 POTIRENDABA";21
"354160 PROMISSAO";2
"354180 QUEIROZ";1
"354250 REGINOPOLIS";1
"354260 REGISTRO";13
"354310 RIBEIRAO CORRENTE";9
"354330 RIBEIRAO PIRES";29
"354380 RINOPOLIS";1
"354390 RIO CLARO";10
"354400 RIO DAS PEDRAS";1
"354515 SALTINHO";2
"354520 SALTO";35
"354530 SALTO DE PIRAPORA";1
"354540 SALTO GRANDE";3
"354610 SANTA CLARA D'OESTE";2
"354630 SANTA CRUZ DAS PALMEIRAS";10
"354640 SANTA CRUZ DO RIO PARDO";24
"354650 SANTA ERNESTINA";10
"354660 SANTA FE DO SUL";3
"354670 SANTA GERTRUDES";8
"354680 SANTA ISABEL";14
"354690 SANTA LUCIA";6
"354730 SANTANA DE PARNAIBA";27
"354740 SANTA RITA D'OESTE";4
"354750 SANTA RITA DO PASSA QUATRO";5
"354780 SANTO ANDRE";57
"354850 SANTOS";118
"354860 SAO BENTO DO SAPUCAI";1
"354880 SAO CAETANO DO SUL";4
"354890 SAO CARLOS";14
"354970 SAO JOSE DO RIO PARDO";2
"354980 SAO JOSE DO RIO PRETO";67
"354990 SAO JOSE DOS CAMPOS";39
"354995 SAO LOURENCO DA SERRA";6
"355010 SAO MANUEL";7
"355040 SAO PEDRO";11
"355060 SAO ROQUE";5
"355080 SAO SEBASTIAO DA GRAMA";10
"355100 SAO VICENTE";67
"355170 SERTAOZINHO";104
"355200 SILVEIRAS";2
"355250 SUZANO";27
"355340 TANABI";14
"355360 TAPIRATIBA";1
"355400 TATUI";32
"355410 TAUBATE";1
"355470 TORRINHA";3
"355480 TREMEMBE";1
"355500 TUPA";7
"355510 TUPI PAULISTA";1
"355535 UBARANA";1
"355570 UNIAO PAULISTA";4
"355600 URUPES";4
"355640 VARGEM GRANDE DO SUL";5
"355645 VARGEM GRANDE PAULISTA";10
"355660 VERA CRUZ";1
"355700 VOTORANTIM";5
"355710 VOTUPORANGA";14
"355720 CHAVANTES";6
"Total";2376
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
