Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";1
"350070 AGUDOS";1
"350115 ALUMINIO";10
"350160 AMERICANA";2
"350200 ANALANDIA";1
"350210 ANDRADINA";14
"350220 ANGATUBA";5
"350270 APIAI";4
"350275 ARACARIGUAMA";4
"350310 ARANDU";1
"350315 ARAPEI";11
"350320 ARARAQUARA";10
"350350 AREIAS";1
"350390 ARUJA";10
"350410 ATIBAIA";15
"350420 AURIFLAMA";2
"350510 BARBOSA";1
"350530 BARRA BONITA";5
"350535 BARRA DO CHAPEU";1
"350550 BARRETOS";13
"350570 BARUERI";2
"350580 BASTOS";5
"350590 BATATAIS";22
"350600 BAURU";35
"350610 BEBEDOURO";3
"350630 BERNARDINO DE CAMPOS";63
"350635 BERTIOGA";3
"350640 BILAC";1
"350650 BIRIGUI";37
"350700 BOITUVA";1
"350740 BORBOREMA";3
"350760 BRAGANCA PAULISTA";45
"350780 BRODOWSKI";4
"350810 BURITAMA";14
"350820 BURITIZAL";2
"350840 CABREUVA";2
"350850 CACAPAVA";11
"350860 CACHOEIRA PAULISTA";2
"350870 CACONDE";3
"350900 CAIEIRAS";14
"350925 CAJATI";3
"350950 CAMPINAS";3
"350970 CAMPOS DO JORDAO";5
"351000 CANDIDO MOTA";1
"351040 CAPIVARI";3
"351060 CARAPICUIBA";17
"351070 CARDOSO";5
"351130 CEDRAL";2
"351140 CERQUEIRA CESAR";7
"351220 CONCHAL";1
"351250 COROADOS";1
"351270 CORUMBATAI";3
"351290 COSMORAMA";22
"351350 CUBATAO";7
"351390 DIVINOLANDIA";1
"351400 DOBRADA";2
"351440 DRACENA";1
"351470 ECHAPORA";2
"351480 ELDORADO";1
"351490 ELIAS FAUSTO";1
"351518 ESPIRITO SANTO DO PINHAL";8
"351550 FERNANDOPOLIS";8
"351565 FERNAO";1
"351570 FERRAZ DE VASCONCELOS";13
"351640 FRANCO DA ROCHA";1
"351780 GUARACAI";1
"351870 GUARUJA";12
"351880 GUARULHOS";108
"351900 HERCULANDIA";3
"351930 IBATE";4
"351940 IBIRA";27
"351960 IBITINGA";17
"352000 IGARACU DO TIETE";2
"352010 IGARAPAVA";4
"352040 ILHABELA";2
"352090 IPAUSSU";2
"352115 IPIGUA";1
"352130 IPUA";6
"352140 IRACEMAPOLIS";5
"352190 ITAJOBI";3
"352200 ITAJU";2
"352220 ITAPECERICA DA SERRA";19
"352250 ITAPEVI";19
"352260 ITAPIRA";18
"352300 ITAPURA";1
"352310 ITAQUAQUECETUBA";74
"352340 ITATIBA";15
"352360 ITIRAPINA";2
"352380 ITOBI";1
"352410 ITUVERAVA";8
"352440 JACAREI";76
"352450 JACI";1
"352460 JACUPIRANGA";6
"352480 JALES";6
"352500 JANDIRA";7
"352530 JAU";14
"352570 JOSE BONIFACIO";4
"352610 JUQUIA";2
"352620 JUQUITIBA";2
"352670 LEME";16
"352690 LIMEIRA";1
"352710 LINS";9
"352720 LORENA";1
"352730 LOUVEIRA";5
"352740 LUCELIA";1
"352800 MACATUBA";12
"352840 MAIRINQUE";12
"352860 MANDURI";1
"352880 MARACAI";1
"352890 MARIAPOLIS";1
"352900 MARILIA";7
"352930 MATAO";13
"352960 MERIDIANO";2
"352980 MINEIROS DO TIETE";6
"352990 MIRACATU";2
"353050 MOCOCA";16
"353060 MOGI DAS CRUZES";46
"353070 MOGI GUACU";2
"353080 MOGI MIRIM";5
"353130 MONTE ALTO";16
"353190 MORRO AGUDO";2
"353240 NAZARE PAULISTA";6
"353250 NEVES PAULISTA";4
"353260 NHANDEARA";1
"353280 NOVA ALIANCA";1
"353290 NOVA EUROPA";110
"353350 NOVO HORIZONTE";8
"353370 OCAUCU";2
"353390 OLIMPIA";4
"353430 ORLANDIA";2
"353460 OSVALDO CRUZ";2
"353470 OURINHOS";24
"353490 PACAEMBU";4
"353500 PALESTINA";1
"353510 PALMARES PAULISTA";1
"353540 PANORAMA";14
"353550 PARAGUACU PAULISTA";16
"353580 PARANAPANEMA";2
"353600 PARAPUA";7
"353610 PARDINHO";1
"353620 PARIQUERA-ACU";7
"353700 PEDREGULHO";6
"353730 PENAPOLIS";28
"353790 PILAR DO SUL";15
"353800 PINDAMONHANGABA";54
"353810 PINDORAMA";2
"353920 PIRAPOZINHO";4
"353940 PIRATININGA";2
"353950 PITANGUEIRAS";37
"353980 POA";20
"354020 PONTAL";9
"354070 PORTO FERREIRA";11
"354075 POTIM";3
"354080 POTIRENDABA";6
"354160 PROMISSAO";4
"354200 QUINTANA";3
"354250 REGINOPOLIS";1
"354260 REGISTRO";10
"354330 RIBEIRAO PIRES";6
"354340 RIBEIRAO PRETO";1
"354380 RINOPOLIS";4
"354390 RIO CLARO";5
"354400 RIO DAS PEDRAS";7
